user_id,LR_size,obf_size,n_records,index_upload_bytes,coordinate_upload_bytes,onehot_upload_bytes,index_upload_kb,coordinate_upload_kb,onehot_upload_kb
1,20,20,1,8,16,160,0.0078125,0.015625,0.15625
2,20,20,1,8,16,160,0.0078125,0.015625,0.15625
3,20,20,1,8,16,160,0.0078125,0.015625,0.15625
4,20,20,1,8,16,160,0.0078125,0.015625,0.15625
5,20,20,1,8,16,160,0.0078125,0.015625,0.15625
6,20,20,1,8,16,160,0.0078125,0.015625,0.15625
7,20,20,1,8,16,160,0.0078125,0.015625,0.15625
8,20,20,1,8,16,160,0.0078125,0.015625,0.15625
9,20,20,1,8,16,160,0.0078125,0.015625,0.15625
10,20,20,1,8,16,160,0.0078125,0.015625,0.15625
