epsilon_index,epsilon_total,region_id,success,server_runtime_sec,nr_iterations,mem_before_bytes,mem_after_bytes,mem_delta_bytes,mem_delta_kb,mem_delta_mb,mem_delta_mb_nonnegative
1,10,1,1,1.4591061,2,4559257600,4657360896,98103296,95804,93.55859375,93.55859375
1,10,2,1,0.8105814,2,4627075072,4626169856,-905216,-884,-0.86328125,NaN
1,10,3,1,0.8930757,2,4618608640,4620914688,2306048,2252,2.19921875,2.19921875
1,10,4,1,0.7801173,2,4622499840,4631080960,8581120,8380,8.18359375,8.18359375
2,7,1,1,0.7811722,2,4633407488,4634591232,1183744,1156,1.12890625,1.12890625
2,7,2,1,0.766925,2,4604047360,4609028096,4980736,4864,4.75,4.75
2,7,3,1,0.7707046,2,4615426048,4617883648,2457600,2400,2.34375,2.34375
2,7,4,1,0.7751464,2,4614225920,4641103872,26877952,26248,25.6328125,25.6328125
3,4,1,1,0.7744339,2,4615868416,4617834496,1966080,1920,1.875,1.875
3,4,2,1,0.7505507,2,4630360064,4630360064,0,0,0,0
3,4,3,1,0.7429353,2,4632047616,4632117248,69632,68,0.06640625,0.06640625
3,4,4,1,0.75055,2,4633731072,4632682496,-1048576,-1024,-1,NaN
