epsilon_index,epsilon_total,region_id,success,server_runtime_sec,nr_iterations,mem_before_bytes,mem_after_bytes,mem_delta_bytes,mem_delta_kb,mem_delta_mb,mem_delta_mb_nonnegative
1,10,1,1,5.6563198,2,5463736320,5465227264,1490944,1456,1.421875,1.421875
1,10,2,1,5.4950776,2,5500231680,5504753664,4521984,4416,4.3125,4.3125
1,10,3,1,5.4936931,2,5509611520,5514088448,4476928,4372,4.26953125,4.26953125
1,10,4,1,5.4930419,2,5553643520,5558059008,4415488,4312,4.2109375,4.2109375
1,10,5,1,5.4943466,2,5565927424,5569695744,3768320,3680,3.59375,3.59375
2,7,1,1,5.4462258,2,5579292672,5585768448,6475776,6324,6.17578125,6.17578125
2,7,2,1,5.5353903,2,5625225216,5629186048,3960832,3868,3.77734375,3.77734375
2,7,3,1,5.4697849,2,5630763008,5634265088,3502080,3420,3.33984375,3.33984375
2,7,4,1,5.4751205,2,5642383360,5646483456,4100096,4004,3.91015625,3.91015625
2,7,5,1,5.5093151,2,5640798208,5645250560,4452352,4348,4.24609375,4.24609375
3,4,1,1,5.5195775,2,5642469376,5647237120,4767744,4656,4.546875,4.546875
3,4,2,1,5.4690369,2,5649448960,5653598208,4149248,4052,3.95703125,3.95703125
3,4,3,1,5.5057751,2,5659598848,5664411648,4812800,4700,4.58984375,4.58984375
3,4,4,1,5.459984,2,5659979776,5664636928,4657152,4548,4.44140625,4.44140625
3,4,5,1,5.4783071,2,5661728768,5667160064,5431296,5304,5.1796875,5.1796875
