epsilon_index,epsilon_total,region_id,success,server_runtime_sec,nr_iterations,mem_before_bytes,mem_after_bytes,mem_delta_bytes,mem_delta_kb,mem_delta_mb,mem_delta_mb_nonnegative
1,10,1,1,5.5827375,2,5477060608,5477351424,290816,284,0.27734375,0.27734375
1,10,2,1,5.5844544,2,5494145024,5494145024,0,0,0,0
1,10,3,1,5.4702517,2,5477548032,5477634048,86016,84,0.08203125,0.08203125
1,10,4,1,5.5595777,2,5494132736,5494140928,8192,8,0.0078125,0.0078125
2,7,1,1,5.5612363,2,5494505472,5494538240,32768,32,0.03125,0.03125
2,7,2,1,5.5249639,2,5478993920,5478993920,0,0,0,0
2,7,3,1,5.5124663,2,5495156736,5495189504,32768,32,0.03125,0.03125
2,7,4,1,5.5433132,2,5479120896,5479133184,12288,12,0.01171875,0.01171875
3,4,1,1,5.4489226,2,5483798528,5483802624,4096,4,0.00390625,0.00390625
3,4,2,1,5.5901043,2,5483270144,5483270144,0,0,0,0
3,4,3,1,5.5243005,2,5500588032,5500588032,0,0,0,0
3,4,4,1,5.5015138,2,5484056576,5484310528,253952,248,0.2421875,0.2421875
