epsilon_index,epsilon_total,region_id,success,server_runtime_sec,nr_iterations,mem_before_bytes,mem_after_bytes,mem_delta_bytes,mem_delta_kb,mem_delta_mb,mem_delta_mb_nonnegative
1,10,1,1,0.9879261,2,3512664064,3586445312,73781248,72052,70.36328125,70.36328125
1,10,2,1,0.3867197,2,3605221376,3606269952,1048576,1024,1,1
1,10,3,1,0.3664088,2,3598786560,3599347712,561152,548,0.53515625,0.53515625
1,10,4,1,0.3510304,2,3587452928,3587452928,0,0,0,0
1,10,5,1,0.3625315,2,3587092480,3588141056,1048576,1024,1,1
2,7,1,1,0.3363313,2,3551563776,3542634496,-8929280,-8720,-8.515625,NaN
2,7,2,1,0.3726427,2,3545767936,3545833472,65536,64,0.0625,0.0625
2,7,3,1,0.3611213,2,3525685248,3519455232,-6230016,-6084,-5.94140625,NaN
2,7,4,1,0.3334879,2,3497517056,3497525248,8192,8,0.0078125,0.0078125
2,7,5,1,0.3519219,2,3425800192,3450261504,24461312,23888,23.328125,23.328125
3,4,1,1,0.3390038,2,3449237504,3449303040,65536,64,0.0625,0.0625
3,4,2,1,0.3481499,2,3434237952,3434237952,0,0,0,0
3,4,3,1,0.3491114,2,3404402688,3404468224,65536,64,0.0625,0.0625
3,4,4,1,0.3446917,2,3394658304,3394658304,0,0,0,0
3,4,5,1,0.3352857,2,3386384384,3386449920,65536,64,0.0625,0.0625
