osmid,y,x,street_count,highway,ref,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
169291311,48.8166869,2.3351407,3,,,POINT (2.3351407 48.8166869),0,57,57,48.8163029105,2.3354749025,0.049212489743030115
169291302,48.8165202,2.3380169,3,,,POINT (2.3380169 48.8165202),0,58,58,48.8163029105,2.3373744695,0.05288061760151926
248898684,48.8164436,2.3395287,3,,,POINT (2.3395287 48.8164436),0,59,59,48.8163029105,2.3392740365,0.024339568779550146
25239973,48.8164665,2.3413108,3,motorway_junction,,POINT (2.3413108 48.8164665),0,60,60,48.8163029105,2.3411736034999997,0.020779742442068976
7366240434,48.8161612,2.3433655,3,,,POINT (2.3433655 48.8161612),0,61,61,48.8163029105,2.3430731705,0.026578855903068552
332494331,48.8161096,2.3442564,3,,,POINT (2.3442564 48.8161096),0,62,62,48.8163029105,2.3449727375,0.056683440525861516
25240275,48.8164472,2.3466051,3,motorway_junction,,POINT (2.3466051 48.8164472),0,63,63,48.8163029105,2.3468723044999997,0.02530189665052754
249076470,48.8161943,2.3558387,3,,,POINT (2.3558387 48.8161943),0,68,68,48.8163029105,2.3563701394999996,0.040742642649373495
166297606,48.8164158,2.360159,4,,,POINT (2.360159 48.8164158),0,70,70,48.8163029105,2.3601692735,0.012575257524477607
25240414,48.816423,2.3640264,3,motorway_junction,,POINT (2.3640264 48.816423),0,72,72,48.8163029105,2.3639684075,0.014012194752502528
1376173594,48.8169814,2.3321297,4,,,POINT (2.3321297 48.8169814),1,55,155,48.8171631315,2.3316757685,0.03889699930225569
249743810,48.8167639,2.3337086,3,traffic_signals,,POINT (2.3337086 48.8167639),1,56,156,48.8171631315,2.3335753355,0.045452195448259736
169290803,48.8168821,2.334933,3,,,POINT (2.334933 48.8168821),1,57,157,48.8171631315,2.3354749025,0.05050530522155965
25240132,48.8167806,2.3408987,3,,,POINT (2.3408987 48.8167806),1,60,160,48.8171631315,2.3411736034999997,0.04705748959095748
168541314,48.8168548,2.3434997,3,,,POINT (2.3434997 48.8168548),1,61,161,48.8171631315,2.3430731705,0.046376144539408
