osmid,y,x,street_count,highway,ref,geometry,lat_index,lon_index,grid_index
125730,48.8635232,2.4107318,4,,,POINT (2.4107318 48.8635232),55,97,5597
125742,48.8518516,2.401373,4,,,POINT (2.401373 48.8518516),41,92,4192
125743,48.8545629,2.4134092,3,,,POINT (2.4134092 48.8545629),44,98,4498
125745,48.8545241,2.4143516,3,,,POINT (2.4143516 48.8545241),44,99,4499
125747,48.8542608,2.414664,3,,,POINT (2.414664 48.8542608),44,99,4499
125748,48.8537522,2.414572,3,,,POINT (2.414572 48.8537522),44,99,4499
125760,48.8295362,2.4011577,3,,,POINT (2.4011577 48.8295362),15,92,1592
360930,48.8263456,2.3614982,3,,,POINT (2.3614982 48.8263456),12,71,1271
360932,48.826183,2.3572675,4,traffic_signals,,POINT (2.3572675 48.826183),11,68,1168
360935,48.8258123,2.3503781,5,traffic_signals,,POINT (2.3503781 48.8258123),11,65,1165
360937,48.825757,2.3465869,4,traffic_signals,,POINT (2.3465869 48.825757),11,63,1163
360938,48.8259416,2.3452101,4,traffic_signals,,POINT (2.3452101 48.8259416),11,62,1162
360946,48.8292991,2.3226525,4,traffic_signals,,POINT (2.3226525 48.8292991),15,50,1550
360977,48.8305326,2.319263,5,traffic_signals,,POINT (2.319263 48.8305326),17,48,1748
360978,48.8318162,2.3141451,4,traffic_signals,,POINT (2.3141451 48.8318162),18,46,1846
360980,48.8335638,2.3092306,4,,,POINT (2.3092306 48.8335638),20,43,2043
360982,48.8372281,2.2964564,4,,,POINT (2.2964564 48.8372281),24,36,2436
360983,48.8392633,2.2919595,4,,,POINT (2.2919595 48.8392633),27,34,2734
360986,48.8421683,2.2855643,4,traffic_signals,,POINT (2.2855643 48.8421683),30,31,3031
360990,48.8474292,2.2737147,5,,,POINT (2.2737147 48.8474292),36,24,3624
360991,48.8482358,2.2699037,4,traffic_signals,,POINT (2.2699037 48.8482358),37,22,3722
360995,48.8479618,2.2622425,3,,,POINT (2.2622425 48.8479618),37,18,3718
360996,48.8479219,2.2597534,4,,,POINT (2.2597534 48.8479219),37,17,3717
360997,48.8479122,2.2585518,4,,,POINT (2.2585518 48.8479122),37,17,3717
360999,48.8530352,2.2618853,4,traffic_signals,,POINT (2.2618853 48.8530352),43,18,4318
361000,48.8573541,2.2646623,4,traffic_signals,,POINT (2.2646623 48.8573541),48,20,4820
361001,48.8578749,2.2629378,3,,,POINT (2.2629378 48.8578749),48,19,4819
361003,48.8583101,2.2559777,3,,,POINT (2.2559777 48.8583101),49,15,4915
361024,48.8637173,2.2325723,3,,,POINT (2.2325723 48.8637173),55,3,5503
361027,48.8622922,2.2383105,4,,,POINT (2.2383105 48.8622922),53,6,5306
361031,48.8474791,2.365556,4,traffic_signals,,POINT (2.365556 48.8474791),36,73,3673
361032,48.8508902,2.3672854,3,traffic_signals,,POINT (2.3672854 48.8508902),40,74,4074
361036,48.8487894,2.3679988,3,traffic_signals,,POINT (2.3679988 48.8487894),38,74,3874
361041,48.8385973,2.3507157,3,,,POINT (2.3507157 48.8385973),26,65,2665
361042,48.8380281,2.351,4,,,POINT (2.351 48.8380281),25,65,2565
361043,48.8332121,2.3543465,3,,,POINT (2.3543465 48.8332121),20,67,2067
361044,48.8331727,2.3567612,4,,,POINT (2.3567612 48.8331727),20,68,2068
361045,48.8365766,2.3592953,5,traffic_signals,,POINT (2.3592953 48.8365766),24,70,2470
361047,48.84166,2.3519793,3,traffic_signals,,POINT (2.3519793 48.84166),29,66,2966
361048,48.8396902,2.3512679,3,traffic_signals,,POINT (2.3512679 48.8396902),27,65,2765
361050,48.8466037,2.3516349,4,traffic_signals,,POINT (2.3516349 48.8466037),35,66,3566
361058,48.8266453,2.363724,4,,,POINT (2.363724 48.8266453),12,72,1272
361059,48.8471299,2.3512394,4,,,POINT (2.3512394 48.8471299),36,65,3665
361060,48.8480778,2.3505051,4,traffic_signals,,POINT (2.3505051 48.8480778),37,65,3765
361062,48.8523487,2.3482382,3,traffic_signals,,POINT (2.3482382 48.8523487),42,64,4264
361068,48.8560699,2.3507047,4,,,POINT (2.3507047 48.8560699),46,65,4665
361070,48.857491,2.351447,3,traffic_signals,,POINT (2.351447 48.857491),48,65,4865
361074,48.8612278,2.3534869,3,traffic_signals,,POINT (2.3534869 48.8612278),52,66,5266
361075,48.8627221,2.3542782,3,traffic_signals,,POINT (2.3542782 48.8627221),54,67,5467
361084,48.8685611,2.3630587,3,,,POINT (2.3630587 48.8685611),61,72,6172
361091,48.8748138,2.3573832,4,,,POINT (2.3573832 48.8748138),68,69,6869
361092,48.8672969,2.3568082,1,,,POINT (2.3568082 48.8672969),59,68,5968
361096,48.8696795,2.3526101,3,,,POINT (2.3526101 48.8696795),62,66,6266
361098,48.8706821,2.3478935,3,traffic_signals,,POINT (2.3478935 48.8706821),63,64,6364
361100,48.8763653,2.3560333,4,traffic_signals,,POINT (2.3560333 48.8763653),70,68,7068
361102,48.8785206,2.3540574,4,,,POINT (2.3540574 48.8785206),72,67,7267
361103,48.8804947,2.3523043,6,,,POINT (2.3523043 48.8804947),75,66,7566
361104,48.8719981,2.3400532,4,traffic_signals,,POINT (2.3400532 48.8719981),65,59,6559
361105,48.8722422,2.3382998,4,traffic_signals,,POINT (2.3382998 48.8722422),65,58,6558
361106,48.8729517,2.3333015,6,,,POINT (2.3333015 48.8729517),66,56,6656
361108,48.8742709,2.3313143,3,traffic_signals,,POINT (2.3313143 48.8742709),67,55,6755
361109,48.8742988,2.3327119,4,,,POINT (2.3327119 48.8742988),67,56,6756
361110,48.8761423,2.3311152,4,traffic_signals,,POINT (2.3311152 48.8761423),70,55,7055
361112,48.8838548,2.3494771,4,traffic_signals,,POINT (2.3494771 48.8838548),79,64,7964
361114,48.8884009,2.3479972,5,traffic_signals,,POINT (2.3479972 48.8884009),84,64,8464
361116,48.8836894,2.3275607,3,traffic_signals,,POINT (2.3275607 48.8836894),78,53,7853
361117,48.8846897,2.3295353,5,,,POINT (2.3295353 48.8846897),79,54,7954
361118,48.8874889,2.333377,4,traffic_signals,,POINT (2.333377 48.8874889),83,56,8356
361120,48.8857991,2.3288483,3,,,POINT (2.3288483 48.8857991),81,54,8154
361125,48.8900527,2.3292686,4,,,POINT (2.3292686 48.8900527),86,54,8654
361704,48.8261632,2.3599616,5,traffic_signals,,POINT (2.3599616 48.8261632),11,70,1170
361705,48.8284768,2.3581254,3,traffic_signals,,POINT (2.3581254 48.8284768),14,69,1469
361706,48.8308507,2.3562364,4,,,POINT (2.3562364 48.8308507),17,68,1768
361709,48.8318207,2.3553095,3,,,POINT (2.3553095 48.8318207),18,67,1867
361711,48.8313748,2.3549228,3,,,POINT (2.3549228 48.8313748),18,67,1867
361712,48.8311129,2.3551038,3,,,POINT (2.3551038 48.8311129),17,67,1767
361715,48.8318418,2.3558122,4,traffic_signals,,POINT (2.3558122 48.8318418),18,68,1868
361721,48.8310597,2.3559813,3,,,POINT (2.3559813 48.8310597),17,68,1768
361726,48.8303757,2.3527614,4,traffic_signals,,POINT (2.3527614 48.8303757),16,66,1666
361729,48.8306421,2.3526433,4,traffic_signals,,POINT (2.3526433 48.8306421),17,66,1766
361730,48.8311993,2.3543524,4,traffic_signals,,POINT (2.3543524 48.8311993),17,67,1767
361731,48.8317002,2.3543662,3,,,POINT (2.3543662 48.8317002),18,67,1867
361732,48.8319405,2.3534547,3,,,POINT (2.3534547 48.8319405),18,66,1866
361733,48.8322202,2.3550299,3,traffic_signals,,POINT (2.3550299 48.8322202),19,67,1967
361735,48.8313954,2.3581678,4,,,POINT (2.3581678 48.8313954),18,69,1869
361736,48.8319952,2.3599732,3,,,POINT (2.3599732 48.8319952),18,70,1870
361737,48.8317022,2.3579381,3,traffic_signals,,POINT (2.3579381 48.8317022),18,69,1869
361738,48.8313556,2.3568637,3,traffic_signals,,POINT (2.3568637 48.8313556),17,68,1768
361739,48.8318007,2.3567167,3,,,POINT (2.3567167 48.8318007),18,68,1868
361740,48.8322428,2.3560813,3,traffic_signals,,POINT (2.3560813 48.8322428),19,68,1968
361741,48.8318213,2.3582931,3,traffic_signals,,POINT (2.3582931 48.8318213),18,69,1869
361742,48.8320387,2.3589341,3,traffic_signals,,POINT (2.3589341 48.8320387),18,69,1869
361744,48.8321859,2.3584104,3,,,POINT (2.3584104 48.8321859),18,69,1869
361745,48.8320004,2.3584149,3,,,POINT (2.3584149 48.8320004),18,69,1869
361747,48.8328074,2.3564892,4,traffic_signals,,POINT (2.3564892 48.8328074),19,68,1968
361748,48.8325125,2.3588028,2,,,POINT (2.3588028 48.8325125),19,69,1969
361752,48.8328501,2.3555283,3,,,POINT (2.3555283 48.8328501),19,68,1968
361753,48.833208,2.3555425,4,,,POINT (2.3555425 48.833208),20,68,2068
366594,48.8270179,2.3664849,4,traffic_signals,,POINT (2.3664849 48.8270179),12,73,1273
366595,48.8276787,2.3713592,4,traffic_signals,,POINT (2.3713592 48.8276787),13,76,1376
366596,48.8273743,2.3691247,3,,,POINT (2.3691247 48.8273743),13,75,1375
366603,48.8212048,2.3790467,3,,,POINT (2.3790467 48.8212048),6,80,680
367504,48.8537953,2.3333421,5,traffic_signals,,POINT (2.3333421 48.8537953),44,56,4456
367505,48.852103,2.3402953,4,,,POINT (2.3402953 48.852103),42,60,4260
367506,48.8513977,2.3431724,4,traffic_signals,,POINT (2.3431724 48.8513977),41,61,4161
367508,48.8529505,2.3427976,3,,,POINT (2.3427976 48.8529505),43,61,4361
367510,48.8530613,2.3468122,4,traffic_signals,,POINT (2.3468122 48.8530613),43,63,4363
367513,48.8437431,2.3242724,5,,,POINT (2.3242724 48.8437431),32,51,3251
367521,48.8515902,2.3311169,4,traffic_signals,,POINT (2.3311169 48.8515902),41,55,4155
367546,48.8420224,2.3228047,4,,,POINT (2.3228047 48.8420224),30,50,3050
367547,48.8412731,2.3248713,4,,,POINT (2.3248713 48.8412731),29,51,2951
367548,48.8393924,2.3305503,3,,,POINT (2.3305503 48.8393924),27,54,2754
367584,48.8376837,2.3455218,4,traffic_signals,,POINT (2.3455218 48.8376837),25,62,2562
367617,48.8341198,2.3333475,4,,,POINT (2.3333475 48.8341198),21,56,2156
367887,48.8624438,2.2637168,3,,,POINT (2.2637168 48.8624438),54,19,5419
367888,48.8627116,2.2664623,3,,,POINT (2.2664623 48.8627116),54,21,5421
367889,48.8631344,2.2686662,4,,,POINT (2.2686662 48.8631344),54,22,5422
367893,48.8726811,2.2845692,4,traffic_signals,,POINT (2.2845692 48.8726811),66,30,6630
367905,48.8801036,2.2879169,4,,,POINT (2.2879169 48.8801036),74,32,7432
367906,48.8848378,2.2966493,3,,,POINT (2.2966493 48.8848378),80,37,8037
367908,48.885359,2.297261,3,,,POINT (2.297261 48.885359),80,37,8037
367911,48.8845175,2.2971781,3,,,POINT (2.2971781 48.8845175),79,37,7937
367912,48.8869037,2.3011542,4,,,POINT (2.3011542 48.8869037),82,39,8239
367914,48.8881726,2.3105625,3,,,POINT (2.3105625 48.8881726),84,44,8444
367915,48.8873505,2.3141215,5,traffic_signals,,POINT (2.3141215 48.8873505),83,46,8346
367917,48.8822056,2.3203489,4,traffic_signals,,POINT (2.3203489 48.8822056),77,49,7749
367926,48.8794904,2.3218476,5,traffic_signals,,POINT (2.3218476 48.8794904),73,50,7350
367927,48.8790714,2.3232119,3,,,POINT (2.3232119 48.8790714),73,51,7351
367928,48.8778593,2.3269497,5,traffic_signals,,POINT (2.3269497 48.8778593),72,53,7253
367929,48.8838764,2.3327896,5,traffic_signals,,POINT (2.3327896 48.8838764),79,56,7956
367932,48.8835576,2.3469998,4,traffic_signals,,POINT (2.3469998 48.8835576),78,63,7863
367934,48.875888,2.3398698,4,traffic_signals,,POINT (2.3398698 48.875888),69,59,6959
367935,48.8756759,2.3431313,3,,,POINT (2.3431313 48.8756759),69,61,6961
367937,48.8792901,2.3570788,4,traffic_signals,,POINT (2.3570788 48.8792901),73,68,7368
367946,48.877753,2.3705986,3,traffic_signals,,POINT (2.3705986 48.877753),71,75,7175
367947,48.8740589,2.3635398,3,,,POINT (2.3635398 48.8740589),67,72,6772
367950,48.8947381,2.3822734,3,,,POINT (2.3822734 48.8947381),91,82,9182
367967,48.8661921,2.3696433,4,traffic_signals,,POINT (2.3696433 48.8661921),58,75,5875
367979,48.8667247,2.3651418,3,traffic_signals,,POINT (2.3651418 48.8667247),59,73,5973
367986,48.8512901,2.3761292,5,traffic_signals,,POINT (2.3761292 48.8512901),41,78,4178
367988,48.8480012,2.3714459,4,traffic_signals,,POINT (2.3714459 48.8480012),37,76,3776
367989,48.8486286,2.3725375,4,traffic_signals,,POINT (2.3725375 48.8486286),38,77,3877
367994,48.8468478,2.3694048,4,traffic_signals,,POINT (2.3694048 48.8468478),36,75,3675
367995,48.8444983,2.3722312,3,traffic_signals,,POINT (2.3722312 48.8444983),33,76,3376
367997,48.8404205,2.3789998,4,,,POINT (2.3789998 48.8404205),28,80,2880
