grid_index,y,x
57,48.8166869,2.3351407
58,48.8165202,2.3380169
59,48.8164436,2.3395287
60,48.8164665,2.3413108
61,48.8161612,2.3433655
62,48.8161096,2.3442564
63,48.8164472,2.3466051
68,48.8161943,2.3558387
70,48.8164158,2.360159
72,48.816423,2.3640264
155,48.8169814,2.3321297
156,48.8167639,2.3337086
157,48.8168821,2.334933
160,48.8167806,2.3408987
161,48.8168548,2.3434997
162,48.8170943,2.3440704
164,48.8167746,2.348606
167,48.8175186,2.3541904
168,48.8169537,2.3570611
169,48.8169525,2.3588787
170,48.8168383,2.3601877
173,48.817415,2.3662898
174,48.8172831,2.3670791
255,48.8184432,2.3316672
269,48.8178824,2.3577332
270,48.8180359,2.3603665
271,48.8180277,2.3627815
272,48.8183684,2.3635593
275,48.8179013,2.3689195
353,48.8193109,2.3287115
354,48.818966,2.3292883
364,48.8191092,2.3487515
366,48.8191751,2.3528729
369,48.8188684,2.3580311
370,48.8188776,2.3595373
371,48.8192178,2.3620697
373,48.8189151,2.3657482
375,48.8186072,2.3699453
377,48.8192587,2.3729912
452,48.8198018,2.3257586
453,48.8196516,2.3277533
460,48.8196777,2.3416196
461,48.8196735,2.3427674
462,48.8194879,2.3446021
463,48.8197469,2.3460329
465,48.8196824,2.3500617
466,48.8200378,2.3517282
468,48.8199678,2.3567973
471,48.8193334,2.3619725
472,48.8194684,2.363741
477,48.819449,2.3734551
478,48.8200091,2.3756322
549,48.8208951,2.3206322
550,48.8206585,2.321712
551,48.8205511,2.3242291
552,48.8202529,2.3257189
554,48.8209283,2.3299648
556,48.8201969,2.3332824
560,48.8204633,2.3414206
561,48.8204578,2.3428366
564,48.8206833,2.3494358
565,48.8209563,2.3506969
566,48.8202251,2.3528455
567,48.8203333,2.3540428
568,48.8205586,2.356291
569,48.8204187,2.3590687
570,48.8207714,2.3610775
573,48.820591,2.3659933
575,48.8210158,2.3702865
576,48.8206737,2.3720385
577,48.8207002,2.373619
578,48.8210133,2.3756043
579,48.820768,2.3770686
647,48.8218171,2.3170789
649,48.8211174,2.3196474
650,48.821235,2.3214717
652,48.8216776,2.3266816
653,48.8212727,2.32866
656,48.8214843,2.3338923
660,48.8211717,2.3411554
661,48.8215379,2.3430072
664,48.8212363,2.3481385
665,48.8211505,2.3505435
666,48.8215919,2.3525583
667,48.8215952,2.3539735
670,48.8210593,2.3608908
672,48.8218222,2.3633358
675,48.8215316,2.3694427
676,48.8215991,2.3715571
679,48.8212681,2.3766975
680,48.8212048,2.3790467
746,48.8222268,2.3146735
747,48.8219899,2.3168688
750,48.822658,2.3226622
751,48.8223979,2.3239111
752,48.822065,2.3253887
753,48.8222003,2.3277342
754,48.822257,2.3302992
757,48.8222943,2.3349455
760,48.8221114,2.3420411
761,48.8226283,2.343963
762,48.8223438,2.3449334
763,48.8222826,2.3470556
764,48.8221798,2.3493502
765,48.8221343,2.3500918
766,48.8221517,2.3526895
767,48.8222355,2.3540576
768,48.8221017,2.3564961
769,48.8222051,2.3585181
770,48.8225121,2.3605706
771,48.8226114,2.3627126
772,48.8220469,2.3631605
774,48.8226528,2.3670649
776,48.8222851,2.37165
777,48.8224854,2.3729845
778,48.8223218,2.3758254
779,48.8227137,2.3773664
843,48.823469,2.3090903
844,48.8233373,2.3111348
845,48.8228,2.3121632
847,48.8236134,2.3172033
849,48.8234137,2.31986
850,48.8229831,2.3220279
851,48.8233042,2.3243729
852,48.8232351,2.3256156
856,48.8232685,2.3342543
857,48.8232298,2.3355277
861,48.8227916,2.3436568
862,48.8232123,2.3447688
864,48.822971,2.3488677
866,48.8228708,2.3529541
867,48.8231877,2.3544169
868,48.8229657,2.3565767
869,48.8230115,2.3582647
870,48.8230485,2.359391
871,48.8229849,2.362419
