u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,width,bridge,tunnel,access,ref
125730,268675130,0,315818975,Rue Henri Duvernois,residential,30,False,True,8.707,,"LINESTRING (2.4107318 48.8635232, 2.4108343 48.8634834)",,,,,,
125730,21112878,0,31093720,Rue Louis Lumière,residential,30,False,False,142.21500000000003,2,"LINESTRING (2.4107318 48.8635232, 2.4104643 48.8642513, 2.4102029 48.8646277, 2.4101809 48.8646556, 2.4101227 48.8647311)",,,,,,
125730,244455548,0,85735969,Rue Louis Lumière,residential,30,False,True,105.92499999999998,2,"LINESTRING (2.4107318 48.8635232, 2.4107698 48.8633722, 2.4108907 48.8627129, 2.4109154 48.8625784)",,,,,,
125730,1089076182,0,"[266463585, 611974677]",Rue Louis Ganne,residential,30,False,True,128.65300000000002,2,"LINESTRING (2.4107318 48.8635232, 2.410615 48.8635125, 2.4097551 48.8634335, 2.4091846 48.8633827, 2.4091018 48.8633753, 2.4090486 48.8633706, 2.4089895 48.8633653)",,,,,,
125742,60912980,0,4039102,Rue de Buzenval,residential,30,True,False,129.019,,"LINESTRING (2.401373 48.8518516, 2.4013344 48.8519246, 2.400815 48.8528778, 2.4007804 48.8529444)",,,,,,
125742,206155932,0,54830382,Rue d'Avron,tertiary,30,False,False,62.47,2,"LINESTRING (2.401373 48.8518516, 2.4012791 48.8518352, 2.4009958 48.8517858, 2.4005483 48.8517062)",,,,,,
125742,244455433,0,54830382,Rue d'Avron,tertiary,30,False,True,201.18200000000002,2,"LINESTRING (2.401373 48.8518516, 2.4015134 48.8518769, 2.4019457 48.8519549, 2.4025405 48.8520607, 2.403889 48.8523013, 2.4040265 48.8523258)",,,,,,
125743,244455500,0,515928027,Place de la Porte de Montreuil,primary,30,True,False,38.763999999999996,6,"LINESTRING (2.4134092 48.8545629, 2.4132577 48.8544952, 2.4131393 48.8544119, 2.4130481 48.8543149)",circular,,,,,
125745,25245021,0,10231214,,trunk_link,70,True,False,268.796,,"LINESTRING (2.4143516 48.8545241, 2.4143476 48.8546345, 2.4143445 48.8546955, 2.4142717 48.8555266, 2.4142148 48.8561182, 2.4142171 48.8564353, 2.4142207 48.8569388)",,,,,,
125745,125743,0,515928027,Place de la Porte de Montreuil,primary,30,True,False,73.15599999999999,6,"LINESTRING (2.4143516 48.8545241, 2.4143088 48.854546, 2.4141676 48.8545946, 2.4140153 48.8546255, 2.4138571 48.8546377, 2.4136981 48.8546309, 2.4135436 48.8546052, 2.4134092 48.8545629)",circular,,,,,
125747,125745,0,515928027,Place de la Porte de Montreuil,primary,30,True,False,37.538,6,"LINESTRING (2.414664 48.8542608, 2.4146075 48.854332, 2.4145302 48.8544114, 2.4144473 48.8544686, 2.4143516 48.8545241)",circular,,,,,
125748,84791125,0,10231210,Place de la Porte de Montreuil,primary,30,True,False,47.022,6,"LINESTRING (2.414572 48.8537522, 2.4146415 48.8538394, 2.4146869 48.853932, 2.4147081 48.8540282, 2.4147057 48.8541581)",circular,,,,,
125760,8220750778,0,32137109,Avenue de Gravelle,tertiary,30,True,False,12.581,2,"LINESTRING (2.4011577 48.8295362, 2.4012719 48.8295502, 2.401323 48.8295648)",,,,,,
360930,480690113,0,84416296,Rue de Tolbiac,secondary,30,False,False,154.093,3,"LINESTRING (2.3614982 48.8263456, 2.3618586 48.8263893, 2.363321 48.826592, 2.363387 48.8266012, 2.3635598 48.8266251)",,,,,,
360930,361704,0,84416296,Rue de Tolbiac,secondary,30,False,True,114.39099999999999,3,"LINESTRING (2.3614982 48.8263456, 2.3607406 48.8262432, 2.360655 48.8262331, 2.3602855 48.8261849, 2.3599616 48.8261632)",,,,,,
360932,253316556,0,3599327,Rue de Tolbiac,secondary,30,False,False,98.761,2,"LINESTRING (2.3572675 48.826183, 2.3573891 48.826182, 2.3574724 48.8261806, 2.3575585 48.8261798, 2.3586162 48.8261615)",,,,,,
360932,100289178,0,"[157910468, 56138076]",Rue de Tolbiac,secondary,30,False,False,265.487,3,"LINESTRING (2.3572675 48.826183, 2.3571435 48.8261807, 2.3570596 48.8261788, 2.3566572 48.8261564, 2.3560257 48.8261206, 2.3553091 48.8260801, 2.3552177 48.8260749, 2.3551352 48.8260703, 2.3543948 48.8260291, 2.3540677 48.8260119, 2.3537682 48.8259964, 2.353653 48.8259905)",,,,,,
360932,252659093,0,309765258,Avenue d'Italie,primary,30,False,False,44.31399999999999,5,"LINESTRING (2.3572675 48.826183, 2.3573067 48.8260509, 2.3573227 48.8260023, 2.3573537 48.8258842, 2.3573807 48.825822, 2.3573914 48.8257932)",,,,,,
360932,21657548,0,"[298746802, 309765259]",Avenue d'Italie,primary,30,False,True,64.844,4,"LINESTRING (2.3572675 48.826183, 2.3572467 48.8262477, 2.3572334 48.8262913, 2.3572163 48.8263458, 2.3571437 48.8265843, 2.3571405 48.8265943, 2.3571131 48.8266809, 2.3570898 48.8267543)",,,,,,
360935,246999158,0,11288141,Rue Bobillot,tertiary,30,False,True,183.10399999999998,2,"LINESTRING (2.3503781 48.8258123, 2.3502745 48.8257105, 2.3502121 48.8256489, 2.3500121 48.8254516, 2.349656 48.8251001, 2.3495765 48.8250217, 2.3489897 48.8244426)",,,,,,
360935,251514416,0,11288240,Rue Charles Fourier,residential,30,True,False,72.586,,"LINESTRING (2.3503781 48.8258123, 2.3505279 48.825706, 2.3507841 48.8255325, 2.3510655 48.8253419)",,,,,,
360935,246263427,0,85735933,Rue Bobillot,tertiary,30,False,False,114.794,2,"LINESTRING (2.3503781 48.8258123, 2.3504827 48.8259158, 2.350632 48.826063, 2.3512488 48.8266709)",,,,,,
360935,1829061660,0,"[662481808, 662481807, 748705046, 748705047]",Rue de Tolbiac,secondary,30,False,False,147.309,2,"LINESTRING (2.3503781 48.8258123, 2.3502032 48.8257996, 2.3501282 48.8257958, 2.3498525 48.8257817, 2.3496626 48.8257715, 2.348593 48.8257141, 2.3485368 48.8257113, 2.3484219 48.8257047, 2.3483728 48.8257029)",,10.2,,,,
360935,246998815,0,"[748705048, 56138076]",Rue de Tolbiac,secondary,30,False,True,173.78799999999998,3,"LINESTRING (2.3503781 48.8258123, 2.3506101 48.8258227, 2.350706 48.825828, 2.3509991 48.8258442, 2.352744 48.8259409)",,,,,,
360937,360938,0,23952334,Rue de Tolbiac,secondary,30,False,False,102.991,3,"LINESTRING (2.3465869 48.825757, 2.3464545 48.8257768, 2.3463709 48.8257887, 2.3460171 48.8258402, 2.3456816 48.8258904, 2.3454515 48.8259272, 2.3453565 48.8259328, 2.3452101 48.8259416)",,,,,,
360937,921170521,0,172636184,Rue Barrault,residential,30,True,False,78.94500000000001,1,"LINESTRING (2.3465869 48.825757, 2.346602 48.8256609, 2.3466335 48.82521, 2.3466503 48.8250484)",,,,,,
360937,49889917,0,662481807,Rue de Tolbiac,secondary,30,False,True,47.18000000000001,2,"LINESTRING (2.3465869 48.825757, 2.3467259 48.8257348, 2.3467898 48.8257246, 2.347046 48.8256804, 2.3471195 48.8256688, 2.3472127 48.8256558)",,,,,,
360938,246999320,0,11288473,Rue Vergniaud,residential,30,False,False,33.516999999999996,2,"LINESTRING (2.3452101 48.8259416, 2.3451846 48.825863, 2.3451676 48.8258162, 2.3451066 48.825648)",,,,,,
360938,360937,0,23952334,Rue de Tolbiac,secondary,30,False,True,102.99099999999999,3,"LINESTRING (2.3452101 48.8259416, 2.3453565 48.8259328, 2.3454515 48.8259272, 2.3456816 48.8258904, 2.3460171 48.8258402, 2.3463709 48.8257887, 2.3464545 48.8257768, 2.3465869 48.825757)",,,,,,
360938,49889201,0,"[513831328, 171930668]",Rue Vergniaud,residential,30,False,False,219.35099999999997,2,"LINESTRING (2.3452101 48.8259416, 2.3452353 48.8260402, 2.3453196 48.8264332, 2.3454027 48.8268206, 2.3455182 48.8273589, 2.3455698 48.8276031, 2.3456168 48.8278122, 2.3456404 48.8278937)",,,,,,
360938,100292096,0,685720068,Rue de Tolbiac,secondary,30,False,False,87.31399999999998,3,"LINESTRING (2.3452101 48.8259416, 2.3451002 48.8259516, 2.3450384 48.8259602, 2.3442258 48.8260889, 2.3441533 48.8260992, 2.3440471 48.8261143)",,,,,,
360946,36598216,0,221126365,Rue des Plantes,residential,30,True,False,88.60300000000001,,"LINESTRING (2.3226525 48.8292991, 2.3226023 48.8292325, 2.3222397 48.8287737, 2.3221316 48.8286671, 2.3220611 48.8286055)",,,,,,
360946,36481290,0,"[824923521, 1160391201]",Rue d'Alésia,secondary,30,True,False,123.918,1,"LINESTRING (2.3226525 48.8292991, 2.322569 48.8293291, 2.3220386 48.8295185, 2.3217672 48.8296172, 2.3211682 48.829835)",,,,,,
360977,125385881,0,5210719,Rue Didot,residential,30,True,False,99.20299999999999,2,"LINESTRING (2.319263 48.8305326, 2.3194202 48.8306837, 2.3194374 48.8307149, 2.3194456 48.8307312, 2.3197953 48.8312793, 2.3198354 48.8313378)",,,,,,
360977,36480709,0,"[5210768, 1136744315]",Rue de Gergovie,residential,30,True,False,173.08100000000002,,"LINESTRING (2.319263 48.8305326, 2.3192607 48.8305794, 2.319258 48.8306332, 2.3192287 48.8306564, 2.3190528 48.8307957, 2.3187386 48.8310551, 2.3179751 48.8316854, 2.3178741 48.8317688)",,,,,,
360977,36480662,0,"[1173732322, 1173732323, 1173732324, 1173732325]",Rue d'Alésia,secondary,30,True,False,141.664,1,"LINESTRING (2.319263 48.8305326, 2.3191282 48.830574, 2.3190651 48.8305933, 2.3189281 48.8306353, 2.3187972 48.8306745, 2.318769 48.8306823, 2.3185482 48.8307496, 2.3181261 48.8308727, 2.3179729 48.8309146, 2.3174929 48.8310473)",,10,,,,
360978,36476892,0,"[1146559482, 5210428]",Rue Raymond Losserand,tertiary,30,True,False,144.41799999999998,,"LINESTRING (2.3141451 48.8318162, 2.3142482 48.831872, 2.3150024 48.8322742, 2.3150933 48.8323228, 2.3155816 48.8325873, 2.3156725 48.8326383)",,,,,,
360978,36476946,0,1173732329,Rue d'Alésia,secondary,30,True,False,46.526,1,"LINESTRING (2.3141451 48.8318162, 2.3140387 48.831843, 2.3139691 48.8318619, 2.3138137 48.8318998, 2.3136139 48.831948, 2.3135538 48.8319688)",,10,,,,
360980,5700619789,0,4039145,Rue de Vouillé,secondary,30,False,False,18.070999999999998,2,"LINESTRING (2.3092306 48.8335638, 2.3091717 48.8335812, 2.3090578 48.8336142, 2.3090052 48.8336301)",,,,,,
360980,1762423633,0,5210455,Rue de Vouillé,secondary,30,False,True,46.157,3,"LINESTRING (2.3092306 48.8335638, 2.3093042 48.8335431, 2.3098061 48.8333941)",,,,,,
360980,322690568,0,36451817,Rue Castagnary,residential,30,True,False,22.747999999999998,1,"LINESTRING (2.3092306 48.8335638, 2.3092875 48.8336534, 2.3093001 48.8336725, 2.3093305 48.8337568)",,,,,,
360982,112014705,0,83210409,Rue de Vaugirard,secondary,30,True,False,26.915,2,"LINESTRING (2.2964564 48.8372281, 2.2966905 48.8373548, 2.2967396 48.8373825)",,,,,,
360982,110517369,0,662409825,Rue de la Convention,secondary,30,False,False,164.289,2,"LINESTRING (2.2964564 48.8372281, 2.2963872 48.8372535, 2.2962772 48.837294, 2.2962459 48.8373094, 2.296218 48.8373236, 2.2961293 48.8373687, 2.2957923 48.8375198, 2.2949478 48.8379025, 2.2947798 48.8379786, 2.2946016 48.838059)",,,,,,
360982,112014706,0,662409825,Rue de la Convention,secondary,30,False,True,58.230000000000004,2,"LINESTRING (2.2964564 48.8372281, 2.2965916 48.8371812, 2.2966255 48.8371714, 2.2967413 48.8371391, 2.2971741 48.8370025)",,,,,,
360983,116118819,0,59725223,Rue de la Convention,secondary,30,False,False,142.119,,"LINESTRING (2.2919595 48.8392633, 2.2917501 48.8393541, 2.2917177 48.8393689, 2.2916828 48.8393847, 2.2915071 48.8394647, 2.2904845 48.8399339, 2.2903618 48.8399897)",,,,,,
360983,116125151,0,59725235,Rue de la Convention,secondary,30,False,True,31.642,,"LINESTRING (2.2919595 48.8392633, 2.2920134 48.8392394, 2.2921004 48.8392008, 2.2921248 48.8391897, 2.2921543 48.8391763, 2.2922854 48.8391168, 2.2923164 48.8391027)",,,,,,
360983,142361613,0,571701532,Rue Lecourbe,secondary,30,True,False,39.981,2,"LINESTRING (2.2919595 48.8392633, 2.2918024 48.8392252, 2.2914493 48.8391348)",,,,,,
360986,116147133,0,59718913,Rue de Lourmel,residential,30,True,False,142.805,,"LINESTRING (2.2855643 48.8421683, 2.2855043 48.8421032, 2.2853404 48.8419279, 2.2846646 48.8412026, 2.2846583 48.8411958, 2.2845444 48.8410734)",,,,,,
360986,116131632,0,59727176,Rue de la Convention,secondary,30,False,True,65.497,3,"LINESTRING (2.2855643 48.8421683, 2.2856454 48.8421314, 2.2861622 48.841896, 2.2862996 48.8418325)",,,,,,
360986,140145854,0,662409826,Rue de la Convention,secondary,30,False,False,183.29099999999997,3,"LINESTRING (2.2855643 48.8421683, 2.2854824 48.8422057, 2.2854292 48.84223, 2.2851527 48.8423562, 2.2850614 48.8423979, 2.2849007 48.8424712, 2.2840464 48.8428612, 2.2835785 48.8430747, 2.2835061 48.8431076)",,,,,,
360990,166450259,0,5097306,Rue Mirabeau,tertiary,30,True,False,138.18200000000002,2,"LINESTRING (2.2737147 48.8474292, 2.2732451 48.8472813, 2.2732253 48.8472748, 2.2720709 48.8469159, 2.2720086 48.8468965)",,,,,,
360990,89163134,0,13871245,Rue de l'Amiral Cloué,secondary,30,False,True,60.869,6,"LINESTRING (2.2737147 48.8474292, 2.2739266 48.84735, 2.2739599 48.8473361, 2.274133 48.8472638, 2.2742826 48.8472011, 2.2743165 48.8471869, 2.274423 48.8471424)",,,,,,
360990,34819161,0,27631897,Rue de Rémusat,tertiary,30,True,False,91.68900000000001,2,"LINESTRING (2.2737147 48.8474292, 2.2732551 48.8475356, 2.2732264 48.8475416, 2.2729011 48.8476073, 2.2727195 48.8476452, 2.2725241 48.8476858)",,,,,,
