Grid Index,NW Lat,NW Lon,NE Lat,NE Lon,SW Lat,SW Lon,SE Lat,SE Lon
0,51.6855928,-0.5098292,51.6855928,-0.501585018,51.681661019,-0.5098292,51.681661019,-0.501585018
1,51.6855928,-0.501585018,51.6855928,-0.493340836,51.681661019,-0.501585018,51.681661019,-0.493340836
2,51.6855928,-0.493340836,51.6855928,-0.485096654,51.681661019,-0.493340836,51.681661019,-0.485096654
3,51.6855928,-0.48509665399999996,51.6855928,-0.47685247199999997,51.681661019,-0.48509665399999996,51.681661019,-0.47685247199999997
4,51.6855928,-0.47685247199999997,51.6855928,-0.46860829,51.681661019,-0.47685247199999997,51.681661019,-0.46860829
5,51.6855928,-0.46860829,51.6855928,-0.460364108,51.681661019,-0.46860829,51.681661019,-0.460364108
6,51.6855928,-0.460364108,51.6855928,-0.452119926,51.681661019,-0.460364108,51.681661019,-0.452119926
7,51.6855928,-0.452119926,51.6855928,-0.443875744,51.681661019,-0.452119926,51.681661019,-0.443875744
8,51.6855928,-0.44387574399999996,51.6855928,-0.43563156199999997,51.681661019,-0.44387574399999996,51.681661019,-0.43563156199999997
9,51.6855928,-0.43563156199999997,51.6855928,-0.42738738,51.681661019,-0.43563156199999997,51.681661019,-0.42738738
10,51.6855928,-0.42738738,51.6855928,-0.419143198,51.681661019,-0.42738738,51.681661019,-0.419143198
11,51.6855928,-0.419143198,51.6855928,-0.410899016,51.681661019,-0.419143198,51.681661019,-0.410899016
12,51.6855928,-0.410899016,51.6855928,-0.402654834,51.681661019,-0.410899016,51.681661019,-0.402654834
13,51.6855928,-0.402654834,51.6855928,-0.39441065200000003,51.681661019,-0.402654834,51.681661019,-0.39441065200000003
14,51.6855928,-0.39441065200000003,51.6855928,-0.38616647000000004,51.681661019,-0.39441065200000003,51.681661019,-0.38616647000000004
15,51.6855928,-0.38616647,51.6855928,-0.377922288,51.681661019,-0.38616647,51.681661019,-0.377922288
16,51.6855928,-0.377922288,51.6855928,-0.369678106,51.681661019,-0.377922288,51.681661019,-0.369678106
17,51.6855928,-0.369678106,51.6855928,-0.361433924,51.681661019,-0.369678106,51.681661019,-0.361433924
18,51.6855928,-0.36143392399999996,51.6855928,-0.353189742,51.681661019,-0.36143392399999996,51.681661019,-0.353189742
19,51.6855928,-0.353189742,51.6855928,-0.34494556,51.681661019,-0.353189742,51.681661019,-0.34494556
20,51.6855928,-0.34494556,51.6855928,-0.336701378,51.681661019,-0.34494556,51.681661019,-0.336701378
21,51.6855928,-0.336701378,51.6855928,-0.328457196,51.681661019,-0.336701378,51.681661019,-0.328457196
22,51.6855928,-0.328457196,51.6855928,-0.320213014,51.681661019,-0.328457196,51.681661019,-0.320213014
23,51.6855928,-0.320213014,51.6855928,-0.31196883200000003,51.681661019,-0.320213014,51.681661019,-0.31196883200000003
24,51.6855928,-0.31196883200000003,51.6855928,-0.30372465000000004,51.681661019,-0.31196883200000003,51.681661019,-0.30372465000000004
25,51.6855928,-0.30372465000000004,51.6855928,-0.29548046800000005,51.681661019,-0.30372465000000004,51.681661019,-0.29548046800000005
26,51.6855928,-0.295480468,51.6855928,-0.287236286,51.681661019,-0.295480468,51.681661019,-0.287236286
27,51.6855928,-0.287236286,51.6855928,-0.278992104,51.681661019,-0.287236286,51.681661019,-0.278992104
28,51.6855928,-0.278992104,51.6855928,-0.27074792200000003,51.681661019,-0.278992104,51.681661019,-0.27074792200000003
29,51.6855928,-0.270747922,51.6855928,-0.26250374,51.681661019,-0.270747922,51.681661019,-0.26250374
30,51.6855928,-0.26250374,51.6855928,-0.254259558,51.681661019,-0.26250374,51.681661019,-0.254259558
