osmid,y,x,street_count,highway,ref,geometry,lat_index,lon_index,grid_index
78112,51.526976,-0.1457924,3,,,POINT (-0.1457924 51.526976),59,44,5944
99936,51.5236106,-0.1527906,3,,,POINT (-0.1527906 51.5236106),58,43,5843
99937,51.5230177,-0.1520235,3,,,POINT (-0.1520235 51.5230177),58,43,5843
101818,51.5351816,-0.148105,3,,,POINT (-0.148105 51.5351816),61,43,6143
101831,51.5356116,-0.1470438,3,,,POINT (-0.1470438 51.5356116),61,44,6144
101839,51.5375137,-0.1526548,3,,,POINT (-0.1526548 51.5375137),62,43,6243
101842,51.5340503,-0.1626658,3,,,POINT (-0.1626658 51.5340503),61,42,6142
101843,51.5349324,-0.1636885,4,,,POINT (-0.1636885 51.5349324),61,41,6141
101851,51.5344972,-0.1644641,3,,,POINT (-0.1644641 51.5344972),61,41,6141
101852,51.533708,-0.1654554,3,,,POINT (-0.1654554 51.533708),61,41,6141
101870,51.5296297,-0.1673203,4,,,POINT (-0.1673203 51.5296297),60,41,6041
101872,51.529917,-0.1678226,3,,,POINT (-0.1678226 51.529917),60,41,6041
101873,51.5303082,-0.167901,3,,,POINT (-0.167901 51.5303082),60,41,6041
101877,51.5287502,-0.1636521,3,,,POINT (-0.1636521 51.5287502),60,41,6041
101884,51.5301065,-0.1688865,4,,,POINT (-0.1688865 51.5301065),60,41,6041
101885,51.5314812,-0.1707395,4,,,POINT (-0.1707395 51.5314812),60,41,6041
101892,51.5414124,-0.1754092,3,,,POINT (-0.1754092 51.5414124),63,40,6340
101899,51.5457254,-0.1782311,3,,,POINT (-0.1782311 51.5457254),64,40,6440
101900,51.546361,-0.1789735,3,,,POINT (-0.1789735 51.546361),64,40,6440
101906,51.5509143,-0.1838402,3,,,POINT (-0.1838402 51.5509143),65,39,6539
101918,51.5595212,-0.1969962,4,,,POINT (-0.1969962 51.5595212),67,37,6737
101920,51.5611929,-0.1971281,3,,,POINT (-0.1971281 51.5611929),68,37,6837
101922,51.5629312,-0.1972244,4,,,POINT (-0.1972244 51.5629312),68,37,6837
101929,51.5711384,-0.195343,3,,,POINT (-0.195343 51.5711384),70,38,7038
101932,51.5715051,-0.1939078,3,,,POINT (-0.1939078 51.5715051),70,38,7038
101954,51.5595316,-0.1784571,3,,,POINT (-0.1784571 51.5595316),67,40,6740
101956,51.5587254,-0.1785815,3,,,POINT (-0.1785815 51.5587254),67,40,6740
101959,51.5578291,-0.1785221,3,,,POINT (-0.1785221 51.5578291),67,40,6740
101966,51.5556328,-0.1761867,3,,,POINT (-0.1761867 51.5556328),66,40,6640
101968,51.5545074,-0.1719546,4,,,POINT (-0.1719546 51.5545074),66,40,6640
101969,51.5531712,-0.1690978,3,,,POINT (-0.1690978 51.5531712),66,41,6641
101977,51.545681,-0.1558591,3,,,POINT (-0.1558591 51.545681),64,42,6442
