grid_index,y,x
48,51.2955467,-0.1076669
68,51.292481,0.0560804
70,51.2936737,0.069958
71,51.2938005,0.0799841
72,51.2958547,0.0873334
146,51.2990637,-0.1268317
147,51.2986858,-0.1174869
148,51.2977695,-0.1115329
149,51.2989868,-0.1016144
150,51.2994526,-0.0944001
171,51.3001648,0.0764774
172,51.2992485,0.0875695
243,51.3026385,-0.149626
245,51.3030348,-0.132001
246,51.3019183,-0.1236048
247,51.3020523,-0.1182304
248,51.3027487,-0.1104255
249,51.3019288,-0.1039757
263,51.3023252,0.0175048
264,51.3027635,0.0197558
267,51.3039275,0.0448942
272,51.300457,0.0860255
343,51.3062389,-0.1504935
344,51.3060091,-0.1442687
346,51.3057915,-0.1244087
347,51.3064686,-0.1185215
348,51.3061272,-0.1103867
349,51.3076605,-0.0997752
364,51.3065306,0.0212355
365,51.3063799,0.0301
366,51.3055241,0.0411734
367,51.3061725,0.0470014
369,51.3046513,0.0656724
443,51.3116002,-0.1505488
444,51.3106163,-0.1441824
445,51.3096837,-0.1332934
446,51.310897,-0.1265618
447,51.3097708,-0.1170472
448,51.3086562,-0.112327
449,51.3108943,-0.102725
450,51.3095473,-0.0961691
451,51.3104877,-0.0831399
464,51.3088706,0.0213969
465,51.3104882,0.029359
466,51.3105191,0.0384355
467,51.3118769,0.0428181
469,51.3108447,0.0627765
542,51.3146934,-0.1579738
543,51.313502,-0.1513478
544,51.3146898,-0.1427378
545,51.3137642,-0.1349142
546,51.3139868,-0.1266853
548,51.314736,-0.1095788
549,51.3155049,-0.1025448
550,51.3134014,-0.0948787
551,51.3150113,-0.0867493
564,51.3136596,0.0228007
565,51.3141646,0.0292087
566,51.3127656,0.0388849
567,51.3149847,0.0427742
568,51.3157417,0.058677
570,51.3159079,0.0748399
642,51.3182998,-0.1602205
643,51.318454,-0.1509533
644,51.3177026,-0.1412348
645,51.3176192,-0.1335055
646,51.3184021,-0.1263797
647,51.3182334,-0.1160445
648,51.317268,-0.1107805
649,51.3181463,-0.0994073
650,51.3195648,-0.0938739
651,51.3174727,-0.0853787
653,51.3195624,-0.0681161
654,51.318725,-0.0641011
664,51.3174953,0.025058
665,51.3170401,0.0299935
666,51.317062,0.0363523
669,51.3164332,0.061303
670,51.31862,0.072823
742,51.3222603,-0.1563265
743,51.3216833,-0.1523515
744,51.3211958,-0.1433302
745,51.3217471,-0.1344412
746,51.3217157,-0.127964
747,51.3228093,-0.1185374
748,51.3213573,-0.1103961
749,51.3221569,-0.1035253
750,51.3215375,-0.0934508
753,51.3220099,-0.0682517
754,51.3211897,-0.0624191
764,51.320038,0.0237792
