osmid,y,x,street_count,highway,ref,geometry
78112,51.526976,-0.1457924,3,,,POINT (-0.1457924 51.526976)
99936,51.5236106,-0.1527906,3,,,POINT (-0.1527906 51.5236106)
99937,51.5230177,-0.1520235,3,,,POINT (-0.1520235 51.5230177)
101818,51.5351816,-0.148105,3,,,POINT (-0.148105 51.5351816)
101831,51.5356116,-0.1470438,3,,,POINT (-0.1470438 51.5356116)
101839,51.5375137,-0.1526548,3,,,POINT (-0.1526548 51.5375137)
101842,51.5340503,-0.1626658,3,,,POINT (-0.1626658 51.5340503)
101843,51.5349324,-0.1636885,4,,,POINT (-0.1636885 51.5349324)
101851,51.5344972,-0.1644641,3,,,POINT (-0.1644641 51.5344972)
101852,51.533708,-0.1654554,3,,,POINT (-0.1654554 51.533708)
101870,51.5296297,-0.1673203,4,,,POINT (-0.1673203 51.5296297)
101872,51.529917,-0.1678226,3,,,POINT (-0.1678226 51.529917)
101873,51.5303082,-0.167901,3,,,POINT (-0.167901 51.5303082)
101877,51.5287502,-0.1636521,3,,,POINT (-0.1636521 51.5287502)
101884,51.5301065,-0.1688865,4,,,POINT (-0.1688865 51.5301065)
101885,51.5314812,-0.1707395,4,,,POINT (-0.1707395 51.5314812)
101892,51.5414124,-0.1754092,3,,,POINT (-0.1754092 51.5414124)
101899,51.5457254,-0.1782311,3,,,POINT (-0.1782311 51.5457254)
101900,51.546361,-0.1789735,3,,,POINT (-0.1789735 51.546361)
101906,51.5509143,-0.1838402,3,,,POINT (-0.1838402 51.5509143)
101918,51.5595212,-0.1969962,4,,,POINT (-0.1969962 51.5595212)
101920,51.5611929,-0.1971281,3,,,POINT (-0.1971281 51.5611929)
101922,51.5629312,-0.1972244,4,,,POINT (-0.1972244 51.5629312)
101929,51.5711384,-0.195343,3,,,POINT (-0.195343 51.5711384)
101932,51.5715051,-0.1939078,3,,,POINT (-0.1939078 51.5715051)
101954,51.5595316,-0.1784571,3,,,POINT (-0.1784571 51.5595316)
101956,51.5587254,-0.1785815,3,,,POINT (-0.1785815 51.5587254)
