osmid,y,x,ref,highway,street_count,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
42991095,40.501099,-74.247075,,,3,POINT (-74.247075 40.501099),0,1,1,40.5004559085,-74.24658457700001,0.08266153434136758
43012193,40.499659,-74.240821,,,4,POINT (-74.240821 40.499659),0,2,2,40.5004559085,-74.241040295,0.09053136578479438
42948912,40.5008375,-74.2366297,,,3,POINT (-74.2366297 40.5008375),0,3,3,40.5004559085,-74.23549601300002,0.10482734760147511
42959610,40.5023268,-74.2319249,,,1,POINT (-74.2319249 40.5023268),0,4,4,40.5004559085,-74.22995173100001,0.2666678350220517
43013566,40.505416,-74.251358,,,1,POINT (-74.251358 40.505416),1,0,100,40.5045971255,-74.25212885900001,0.11197580241373487
42971013,40.50394,-74.24609,,,4,POINT (-74.24609 40.50394),1,1,101,40.5045971255,-74.24658457700001,0.08418796674989375
42951674,40.505013,-74.240733,,,3,POINT (-74.240733 40.505013),1,2,102,40.5045971255,-74.241040295,0.05304183982132476
42986181,40.5032106,-74.236131,,turning_circle,1,POINT (-74.236131 40.5032106),1,3,103,40.5045971255,-74.23549601300002,0.16325475103474335
2613300615,40.5045833,-74.2295066,,,3,POINT (-74.2295066 40.5045833),1,4,104,40.5045971255,-74.22995173100001,0.03766609885175906
6277185526,40.504804,-74.2237669,,,1,POINT (-74.2237669 40.504804),1,5,105,40.5045971255,-74.22440744900001,0.058839674479878055
42978570,40.508939,-74.251198,,,3,POINT (-74.251198 40.508939),2,0,200,40.5087383425,-74.25212885900001,0.08179864587128982
42991645,40.509045,-74.246903,,traffic_signals,4,POINT (-74.246903 40.509045),2,1,201,40.5087383425,-74.24658457700001,0.04344443985902524
43009409,40.5086987,-74.2408864,,,1,POINT (-74.2408864 40.5086987),2,2,202,40.5087383425,-74.241040295,0.013737085744685499
42959913,40.508457,-74.235647,,,3,POINT (-74.235647 40.508457),2,3,203,40.5087383425,-74.23549601300002,0.03378787063600706
42956703,40.5085628,-74.229907,,,3,POINT (-74.229907 40.5085628),2,4,204,40.5087383425,-74.22995173100001,0.019882387958829476
6180506470,40.5085002,-74.2247291,,,3,POINT (-74.2247291 40.5085002),2,5,205,40.5087383425,-74.22440744900001,0.03795616724519507
42997741,40.5121262,-74.2529586,,,1,POINT (-74.2529586 40.5121262),3,0,300,40.5128795595,-74.25212885900001,0.10925926790071226
43003656,40.513763,-74.247219,,,3,POINT (-74.247219 40.513763),3,1,301,40.5128795595,-74.24658457700001,0.11192103887950569
42974546,40.512018,-74.241131,,,3,POINT (-74.241131 40.512018),3,2,302,40.5128795595,-74.241040295,0.09610743079577432
42959564,40.512914,-74.235143,,,3,POINT (-74.235143 40.512914),3,3,303,40.5128795595,-74.23549601300002,0.030087387008339142
42999211,40.5125519,-74.2309046,,,1,POINT (-74.2309046 40.5125519),3,4,304,40.5128795595,-74.22995173100001,0.08840936871701843
42965062,40.5122189,-74.2257211,,,1,POINT (-74.2257211 40.5122189),3,5,305,40.5128795595,-74.22440744900001,0.13315168592360405
2540791697,40.5130845,-74.206777,,,1,POINT (-74.206777 40.5130845),3,8,308,40.5128795595,-74.207774603,0.08735891709137583
42963201,40.5130336,-74.2033792,,,3,POINT (-74.2033792 40.5130336),3,9,309,40.5128795595,-74.20223032100002,0.09862155420920429
42972734,40.5131935,-74.1968546,,,3,POINT (-74.1968546 40.5131935),3,10,310,40.5128795595,-74.19668603900001,0.0377049238466778
42962042,40.5163614,-74.2443738,,,1,POINT (-74.2443738 40.5163614),4,1,401,40.517020776500004,-74.24658457700001,0.20075005157559486
6955288483,40.5169327,-74.2407919,,,3,POINT (-74.2407919 40.5169327),4,2,402,40.517020776500004,-74.241040295,0.023168993829957213
42959854,40.516336,-74.2363542,,,3,POINT (-74.2363542 40.516336),4,3,403,40.517020776500004,-74.23549601300002,0.1051692041656395
3566540124,40.5174222,-74.2310794,,,1,POINT (-74.2310794 40.5174222),4,4,404,40.517020776500004,-74.22995173100001,0.10525678740866291
42984472,40.5174944,-74.2124835,,,3,POINT (-74.2124835 40.5174944),4,7,407,40.517020776500004,-74.213318885,0.08809213822962002
42955584,40.516866,-74.207556,,,3,POINT (-74.207556 40.516866),4,8,408,40.517020776500004,-74.207774603,0.02525207912240495
42949944,40.516624,-74.202786,,traffic_signals,4,POINT (-74.202786 40.516624),4,9,409,40.517020776500004,-74.20223032100002,0.06444352502833364
43002970,40.51694,-74.1969084,,,3,POINT (-74.1969084 40.51694),4,10,410,40.517020776500004,-74.19668603900001,0.02083235735865314
42966464,40.5173062,-74.1932501,,,3,POINT (-74.1932501 40.5173062),4,11,411,40.517020776500004,-74.19114175700001,0.18102556777034617
43000929,40.5212846,-74.2394451,,traffic_signals,3,POINT (-74.2394451 40.5212846),5,2,502,40.5211619935,-74.241040295,0.135523769068966
43000925,40.5209196,-74.2351298,,traffic_signals,4,POINT (-74.2351298 40.5209196),5,3,503,40.5211619935,-74.23549601300002,0.04104460796615932
42954246,40.521188,-74.229706,,,4,POINT (-74.229706 40.521188),5,4,504,40.5211619935,-74.22995173100001,0.020971140679779614
448127471,40.5214628,-74.2238295,,turning_circle,1,POINT (-74.2238295 40.5214628),5,5,505,40.5211619935,-74.22440744900001,0.059205515306772524
42992450,40.5209186,-74.2175038,,,3,POINT (-74.2175038 40.5209186),5,6,506,40.5211619935,-74.21886316700001,0.11804719678824949
6710346033,40.5212367,-74.2135578,,,3,POINT (-74.2135578 40.5212367),5,7,507,40.5211619935,-74.213318885,0.02183644656968151
43017390,40.521448,-74.208456,,,1,POINT (-74.208456 40.521448),5,8,508,40.5211619935,-74.207774603,0.06579287668744291
42948559,40.519758,-74.2017968,,,1,POINT (-74.2017968 40.519758),5,9,509,40.5211619935,-74.20223032100002,0.16035996573250808
43004496,40.5211013,-74.1960041,,,1,POINT (-74.1960041 40.5211013),5,10,510,40.5211619935,-74.19668603900001,0.05803575151991402
42988907,40.522572,-74.190004,,,4,POINT (-74.190004 40.522572),5,11,511,40.5211619935,-74.19114175700001,0.18393023482369536
42971095,40.521992,-74.186083,,,3,POINT (-74.186083 40.521992),5,12,512,40.5211619935,-74.18559747500001,0.10100569548904081
43026098,40.5210042,-74.1808864,,,1,POINT (-74.1808864 40.5210042),5,13,513,40.5211619935,-74.180053193,0.07258094728256083
43010291,40.5220648,-74.1757568,,,2,POINT (-74.1757568 40.5220648),5,14,514,40.5211619935,-74.174508911,0.14561419568681666
999102812,40.5248561,-74.2464859,,,1,POINT (-74.2464859 40.5248561),6,1,601,40.5253032105,-74.24658457700001,0.050411146488136556
43001717,40.5253541,-74.2392788,,traffic_signals,3,POINT (-74.2392788 40.5253541),6,2,602,40.5253032105,-74.241040295,0.14899143688353023
447844637,40.5254552,-74.2358172,,,3,POINT (-74.2358172 40.5254552),6,3,603,40.5253032105,-74.23549601300002,0.03197800446180495
60652354,40.5255984,-74.2298476,,motorway_junction,3,POINT (-74.2298476 40.5255984),6,4,604,40.5253032105,-74.22995173100001,0.03398307724779059
60651554,40.5250777,-74.2237103,,motorway_junction,3,POINT (-74.2237103 40.5250777),6,5,605,40.5253032105,-74.22440744900001,0.0640377721402574
43008883,40.524706,-74.218517,,,3,POINT (-74.218517 40.524706),6,6,606,40.5253032105,-74.21886316700001,0.07256671703240063
