Grid Index,NW Lat,NW Lon,NE Lat,NE Lon,SW Lat,SW Lon,SE Lat,SE Lon
0,40.912507,-74.254901,40.912507,-74.249356718,40.908365783,-74.254901,40.908365783,-74.249356718
1,40.912507,-74.249356718,40.912507,-74.243812436,40.908365783,-74.249356718,40.908365783,-74.243812436
2,40.912507,-74.243812436,40.912507,-74.238268154,40.908365783,-74.243812436,40.908365783,-74.238268154
3,40.912507,-74.23826815400001,40.912507,-74.23272387200001,40.908365783,-74.23826815400001,40.908365783,-74.23272387200001
4,40.912507,-74.23272387200001,40.912507,-74.22717959,40.908365783,-74.23272387200001,40.908365783,-74.22717959
5,40.912507,-74.22717959,40.912507,-74.221635308,40.908365783,-74.22717959,40.908365783,-74.221635308
6,40.912507,-74.221635308,40.912507,-74.216091026,40.908365783,-74.221635308,40.908365783,-74.216091026
7,40.912507,-74.216091026,40.912507,-74.210546744,40.908365783,-74.216091026,40.908365783,-74.210546744
8,40.912507,-74.210546744,40.912507,-74.205002462,40.908365783,-74.210546744,40.908365783,-74.205002462
9,40.912507,-74.20500246200001,40.912507,-74.19945818000001,40.908365783,-74.20500246200001,40.908365783,-74.19945818000001
10,40.912507,-74.19945818000001,40.912507,-74.193913898,40.908365783,-74.19945818000001,40.908365783,-74.193913898
11,40.912507,-74.193913898,40.912507,-74.188369616,40.908365783,-74.193913898,40.908365783,-74.188369616
12,40.912507,-74.188369616,40.912507,-74.182825334,40.908365783,-74.188369616,40.908365783,-74.182825334
13,40.912507,-74.182825334,40.912507,-74.177281052,40.908365783,-74.182825334,40.908365783,-74.177281052
14,40.912507,-74.177281052,40.912507,-74.17173677,40.908365783,-74.177281052,40.908365783,-74.17173677
15,40.912507,-74.17173677000001,40.912507,-74.16619248800001,40.908365783,-74.17173677000001,40.908365783,-74.16619248800001
16,40.912507,-74.16619248800001,40.912507,-74.160648206,40.908365783,-74.16619248800001,40.908365783,-74.160648206
17,40.912507,-74.160648206,40.912507,-74.155103924,40.908365783,-74.160648206,40.908365783,-74.155103924
18,40.912507,-74.155103924,40.912507,-74.149559642,40.908365783,-74.155103924,40.908365783,-74.149559642
19,40.912507,-74.149559642,40.912507,-74.14401536,40.908365783,-74.149559642,40.908365783,-74.14401536
20,40.912507,-74.14401536,40.912507,-74.138471078,40.908365783,-74.14401536,40.908365783,-74.138471078
21,40.912507,-74.13847107800001,40.912507,-74.132926796,40.908365783,-74.13847107800001,40.908365783,-74.132926796
22,40.912507,-74.132926796,40.912507,-74.127382514,40.908365783,-74.132926796,40.908365783,-74.127382514
23,40.912507,-74.127382514,40.912507,-74.121838232,40.908365783,-74.127382514,40.908365783,-74.121838232
24,40.912507,-74.121838232,40.912507,-74.11629395,40.908365783,-74.121838232,40.908365783,-74.11629395
25,40.912507,-74.11629395,40.912507,-74.110749668,40.908365783,-74.11629395,40.908365783,-74.110749668
26,40.912507,-74.110749668,40.912507,-74.105205386,40.908365783,-74.110749668,40.908365783,-74.105205386
27,40.912507,-74.10520538600001,40.912507,-74.099661104,40.908365783,-74.10520538600001,40.908365783,-74.099661104
28,40.912507,-74.099661104,40.912507,-74.094116822,40.908365783,-74.099661104,40.908365783,-74.094116822
29,40.912507,-74.094116822,40.912507,-74.08857254,40.908365783,-74.094116822,40.908365783,-74.08857254
30,40.912507,-74.08857254,40.912507,-74.083028258,40.908365783,-74.08857254,40.908365783,-74.083028258
31,40.912507,-74.083028258,40.912507,-74.077483976,40.908365783,-74.083028258,40.908365783,-74.077483976
32,40.912507,-74.077483976,40.912507,-74.071939694,40.908365783,-74.077483976,40.908365783,-74.071939694
33,40.912507,-74.07193969400001,40.912507,-74.066395412,40.908365783,-74.07193969400001,40.908365783,-74.066395412
34,40.912507,-74.066395412,40.912507,-74.06085113,40.908365783,-74.066395412,40.908365783,-74.06085113
35,40.912507,-74.06085113,40.912507,-74.055306848,40.908365783,-74.06085113,40.908365783,-74.055306848
36,40.912507,-74.055306848,40.912507,-74.049762566,40.908365783,-74.055306848,40.908365783,-74.049762566
37,40.912507,-74.049762566,40.912507,-74.044218284,40.908365783,-74.049762566,40.908365783,-74.044218284
38,40.912507,-74.044218284,40.912507,-74.038674002,40.908365783,-74.044218284,40.908365783,-74.038674002
39,40.912507,-74.03867400200001,40.912507,-74.03312972,40.908365783,-74.03867400200001,40.908365783,-74.03312972
40,40.912507,-74.03312972,40.912507,-74.027585438,40.908365783,-74.03312972,40.908365783,-74.027585438
41,40.912507,-74.027585438,40.912507,-74.022041156,40.908365783,-74.027585438,40.908365783,-74.022041156
42,40.912507,-74.022041156,40.912507,-74.016496874,40.908365783,-74.022041156,40.908365783,-74.016496874
43,40.912507,-74.016496874,40.912507,-74.010952592,40.908365783,-74.016496874,40.908365783,-74.010952592
44,40.912507,-74.010952592,40.912507,-74.00540830999999,40.908365783,-74.010952592,40.908365783,-74.00540830999999
45,40.912507,-74.00540831,40.912507,-73.999864028,40.908365783,-74.00540831,40.908365783,-73.999864028
46,40.912507,-73.999864028,40.912507,-73.994319746,40.908365783,-73.999864028,40.908365783,-73.994319746
47,40.912507,-73.994319746,40.912507,-73.988775464,40.908365783,-73.994319746,40.908365783,-73.988775464
48,40.912507,-73.988775464,40.912507,-73.983231182,40.908365783,-73.988775464,40.908365783,-73.983231182
49,40.912507,-73.983231182,40.912507,-73.9776869,40.908365783,-73.983231182,40.908365783,-73.9776869
50,40.912507,-73.97768690000001,40.912507,-73.972142618,40.908365783,-73.97768690000001,40.908365783,-73.972142618
51,40.912507,-73.972142618,40.912507,-73.966598336,40.908365783,-73.972142618,40.908365783,-73.966598336
52,40.912507,-73.966598336,40.912507,-73.961054054,40.908365783,-73.966598336,40.908365783,-73.961054054
53,40.912507,-73.961054054,40.912507,-73.955509772,40.908365783,-73.961054054,40.908365783,-73.955509772
54,40.912507,-73.955509772,40.912507,-73.94996549,40.908365783,-73.955509772,40.908365783,-73.94996549
55,40.912507,-73.94996549,40.912507,-73.944421208,40.908365783,-73.94996549,40.908365783,-73.944421208
56,40.912507,-73.94442120800001,40.912507,-73.938876926,40.908365783,-73.94442120800001,40.908365783,-73.938876926
57,40.912507,-73.938876926,40.912507,-73.933332644,40.908365783,-73.938876926,40.908365783,-73.933332644
58,40.912507,-73.933332644,40.912507,-73.927788362,40.908365783,-73.933332644,40.908365783,-73.927788362
59,40.912507,-73.927788362,40.912507,-73.92224408,40.908365783,-73.927788362,40.908365783,-73.92224408
60,40.912507,-73.92224408,40.912507,-73.916699798,40.908365783,-73.92224408,40.908365783,-73.916699798
61,40.912507,-73.916699798,40.912507,-73.911155516,40.908365783,-73.916699798,40.908365783,-73.911155516
62,40.912507,-73.91115551600001,40.912507,-73.905611234,40.908365783,-73.91115551600001,40.908365783,-73.905611234
63,40.912507,-73.905611234,40.912507,-73.900066952,40.908365783,-73.905611234,40.908365783,-73.900066952
64,40.912507,-73.900066952,40.912507,-73.89452267,40.908365783,-73.900066952,40.908365783,-73.89452267
65,40.912507,-73.89452267,40.912507,-73.888978388,40.908365783,-73.89452267,40.908365783,-73.888978388
66,40.912507,-73.888978388,40.912507,-73.883434106,40.908365783,-73.888978388,40.908365783,-73.883434106
67,40.912507,-73.883434106,40.912507,-73.877889824,40.908365783,-73.883434106,40.908365783,-73.877889824
68,40.912507,-73.87788982400001,40.912507,-73.872345542,40.908365783,-73.87788982400001,40.908365783,-73.872345542
69,40.912507,-73.872345542,40.912507,-73.86680126,40.908365783,-73.872345542,40.908365783,-73.86680126
