grid_index,y,x
1,40.501099,-74.247075
2,40.499659,-74.240821
3,40.5008375,-74.2366297
4,40.5023268,-74.2319249
100,40.505416,-74.251358
101,40.50394,-74.24609
102,40.505013,-74.240733
103,40.5032106,-74.236131
104,40.5045833,-74.2295066
105,40.504804,-74.2237669
200,40.508939,-74.251198
201,40.509045,-74.246903
202,40.5086987,-74.2408864
203,40.508457,-74.235647
204,40.5085628,-74.229907
205,40.5085002,-74.2247291
300,40.5121262,-74.2529586
301,40.513763,-74.247219
302,40.512018,-74.241131
303,40.512914,-74.235143
304,40.5125519,-74.2309046
305,40.5122189,-74.2257211
308,40.5130845,-74.206777
309,40.5130336,-74.2033792
310,40.5131935,-74.1968546
401,40.5163614,-74.2443738
402,40.5169327,-74.2407919
403,40.516336,-74.2363542
404,40.5174222,-74.2310794
407,40.5174944,-74.2124835
408,40.516866,-74.207556
409,40.516624,-74.202786
410,40.51694,-74.1969084
411,40.5173062,-74.1932501
502,40.5212846,-74.2394451
503,40.5209196,-74.2351298
504,40.521188,-74.229706
505,40.5214628,-74.2238295
506,40.5209186,-74.2175038
507,40.5212367,-74.2135578
508,40.521448,-74.208456
509,40.519758,-74.2017968
510,40.5211013,-74.1960041
511,40.522572,-74.190004
512,40.521992,-74.186083
513,40.5210042,-74.1808864
514,40.5220648,-74.1757568
601,40.5248561,-74.2464859
602,40.5253541,-74.2392788
603,40.5254552,-74.2358172
604,40.5255984,-74.2298476
605,40.5250777,-74.2237103
606,40.524706,-74.218517
607,40.5261186,-74.2132168
608,40.5252948,-74.2073006
609,40.5259127,-74.2027707
610,40.5256452,-74.1992876
611,40.5247,-74.1895595
612,40.5261265,-74.1855036
613,40.525037,-74.1796271
614,40.5259659,-74.175146
615,40.5255587,-74.1684107
616,40.52688,-74.164132
702,40.528224,-74.239371
703,40.5279484,-74.2346325
704,40.5277185,-74.2302179
705,40.5294254,-74.2224119
706,40.5293757,-74.2191587
707,40.529687,-74.2131554
708,40.529105,-74.208414
709,40.529594,-74.202571
710,40.5294381,-74.197012
711,40.5289296,-74.1906698
712,40.5295993,-74.1868345
713,40.529158,-74.180745
714,40.528104,-74.175568
715,40.529304,-74.168903
716,40.52921,-74.163417
717,40.5294888,-74.1580152
718,40.531409,-74.155042
802,40.5320439,-74.2409849
803,40.5338209,-74.2357283
804,40.5334025,-74.2322905
805,40.5330914,-74.2247336
806,40.5345135,-74.2182676
807,40.5340047,-74.2115213
808,40.5335467,-74.2074955
809,40.533822,-74.200997
810,40.533211,-74.196351
811,40.5335509,-74.1901013
812,40.533541,-74.185878
813,40.533816,-74.1807621
814,40.533592,-74.173587
815,40.5337909,-74.1694232
816,40.533369,-74.16317
817,40.533756,-74.15758
818,40.5336272,-74.1528432
819,40.5343294,-74.149379
902,40.5378606,-74.2414843
903,40.5373906,-74.2357056
904,40.5380901,-74.231598
905,40.5371994,-74.2237788
906,40.5376693,-74.218949
907,40.5376356,-74.2135804
908,40.5377359,-74.2087665
909,40.537184,-74.202564
910,40.5378455,-74.1974412
911,40.5375028,-74.1905131
912,40.5375954,-74.1857907
913,40.5381283,-74.1796617
914,40.5378695,-74.174137
915,40.538326,-74.167865
916,40.538048,-74.162801
917,40.5382246,-74.1573599
918,40.5374079,-74.1526021
919,40.5374053,-74.1469349
920,40.5376476,-74.1428113
1001,40.542281,-74.24617
1003,40.54115,-74.237533
1005,40.5422008,-74.2229288
1006,40.541829,-74.2180177
1007,40.5414056,-74.2142624
1008,40.541694,-74.2079402
1009,40.541948,-74.202
1010,40.541847,-74.196713
1011,40.541947,-74.190875
1012,40.541944,-74.1855953
1013,40.5417739,-74.1808496
1014,40.5418145,-74.1744861
1015,40.5417756,-74.1690616
1016,40.542217,-74.163773
1017,40.541667,-74.15795
1018,40.542126,-74.152764
1019,40.541726,-74.147661
1020,40.542216,-74.143156
1104,40.545969,-74.229783
1105,40.5464853,-74.2225857
1106,40.5457,-74.219543
1107,40.545981,-74.2137
1108,40.545421,-74.207861
1109,40.5467072,-74.2021903
1110,40.545949,-74.1967
1111,40.5459528,-74.1915222
1112,40.546289,-74.185122
1113,40.5460135,-74.1797357
1114,40.5461355,-74.1741271
1115,40.54605,-74.168739
1116,40.5454376,-74.1635774
1117,40.546029,-74.157789
1118,40.545753,-74.151628
1119,40.545701,-74.146732
1120,40.5463865,-74.1413567
1121,40.5465513,-74.1377128
1203,40.5494071,-74.2339105
1205,40.5490023,-74.2232998
1206,40.5504241,-74.2181472
1207,40.5504958,-74.2131498
1208,40.549975,-74.208881
1209,40.550793,-74.2009691
1210,40.5497198,-74.1962388
1211,40.5503877,-74.1915213
1212,40.549288,-74.185891
1213,40.550026,-74.179658
1214,40.550327,-74.17502
1215,40.550303,-74.169685
1216,40.5503948,-74.1632224
1217,40.549913,-74.158374
1218,40.5503615,-74.1520888
1219,40.550028,-74.146577
1220,40.549589,-74.141499
1221,40.5504641,-74.1361381
1225,40.5502916,-74.112959
1258,40.5517966,-73.9324986
1305,40.556052,-74.226403
1306,40.554715,-74.217209
1307,40.5542788,-74.2129287
1308,40.5535444,-74.210286
1309,40.554343,-74.202628
1310,40.5535338,-74.1970934
1311,40.554087,-74.192752
1312,40.553981,-74.185755
1313,40.554167,-74.179503
1314,40.554024,-74.174781
1315,40.554131,-74.168367
1316,40.5533166,-74.1633967
1317,40.554058,-74.157672
1318,40.55436,-74.151687
1319,40.554405,-74.146994
1320,40.554617,-74.1407593
1321,40.5547385,-74.1361113
1322,40.5544771,-74.1305019
1323,40.5551489,-74.1237483
1324,40.554545,-74.119132
1325,40.552942,-74.1143631
1326,40.5533488,-74.1101164
1358,40.5553671,-73.9311825
1408,40.557631,-74.2069148
1409,40.5566547,-74.2039449
1410,40.557813,-74.196604
1412,40.560299,-74.184096
1413,40.5577414,-74.1805715
1414,40.5587065,-74.1743478
1415,40.55841,-74.169317
1416,40.557705,-74.163482
1417,40.558463,-74.157623
1418,40.557545,-74.152194
1419,40.558856,-74.147067
1420,40.55834,-74.141794
1421,40.5587153,-74.1355407
1422,40.558911,-74.129982
1423,40.557961,-74.123951
1424,40.5587,-74.119556
1425,40.5588301,-74.1133492
1426,40.558454,-74.10771
1427,40.560144,-74.101524
1458,40.5578373,-73.9285372
1459,40.5593945,-73.9253327
1460,40.5591562,-73.9171412
1461,40.5585773,-73.9136815
1462,40.556848,-73.910098
1509,40.560836,-74.1998995
1510,40.561098,-74.198618
1511,40.5626617,-74.1925941
1512,40.5631515,-74.1843473
1513,40.5627842,-74.1807873
1514,40.5623212,-74.1736171
1515,40.5632994,-74.1697276
1516,40.5611265,-74.1619125
1517,40.5624981,-74.1574081
1518,40.5629126,-74.1527601
1519,40.563392,-74.147216
1520,40.5626335,-74.1407938
1521,40.561576,-74.133972
1522,40.5626347,-74.1300987
1523,40.563085,-74.124504
1524,40.562548,-74.119094
1525,40.562675,-74.114299
1526,40.563146,-74.107869
1527,40.56283,-74.102603
1528,40.5638751,-74.0963866
1559,40.5612008,-73.9253905
1560,40.5607761,-73.9202734
1561,40.562617,-73.914848
1562,40.5614668,-73.9100612
1565,40.5643163,-73.8943338
1566,40.5629597,-73.886287
1567,40.5638864,-73.881498
1610,40.567388,-74.194098
1611,40.5674471,-74.1932116
1612,40.5654091,-74.1833789
1613,40.5651974,-74.1812913
1617,40.564941,-74.155113
1618,40.566776,-74.152956
1619,40.5681455,-74.1492615
1620,40.5675916,-74.1405422
1621,40.566746,-74.136043
1622,40.5666396,-74.130912
1623,40.5668233,-74.124259
1624,40.566531,-74.11879
1625,40.5664573,-74.1136956
1626,40.5669536,-74.1080475
1627,40.566647,-74.102089
1628,40.5687806,-74.094603
1629,40.568409,-74.093873
1661,40.5648596,-73.9118461
1665,40.565355,-73.8909219
1666,40.5663007,-73.8845971
1667,40.567138,-73.8802344
1668,40.5662453,-73.8731499
1669,40.5671587,-73.8697557
1670,40.567598,-73.863088
1671,40.568638,-73.860624
1710,40.5705139,-74.1951072
1711,40.5724925,-74.1900633
1715,40.5709512,-74.1697162
1718,40.569978,-74.151767
1719,40.5708873,-74.1478972
1720,40.570855,-74.141516
1721,40.570882,-74.135347
1722,40.570385,-74.129686
1723,40.570844,-74.125109
1724,40.570881,-74.119238
1725,40.570446,-74.113005
1726,40.5705118,-74.1081859
1727,40.5722555,-74.1013141
1728,40.571368,-74.096609
1729,40.5712711,-74.0911683
1745,40.5722138,-74.0012566
1746,40.5718041,-73.9979089
1747,40.5717899,-73.9914421
1748,40.5726377,-73.9872588
1768,40.5697504,-73.8748441
1769,40.5711149,-73.8705405
1770,40.5708831,-73.8640006
1771,40.5713135,-73.8592137
1772,40.571412,-73.8532646
1773,40.5726786,-73.8500645
1815,40.5752514,-74.1699656
1816,40.574752,-74.1640728
1817,40.5768175,-74.1591681
1819,40.575749,-74.147016
1820,40.5744308,-74.1415352
1821,40.5753787,-74.1357015
1822,40.5752931,-74.1296516
1823,40.5746659,-74.1248751
1824,40.5754135,-74.1190397
1825,40.57537,-74.114177
1826,40.574895,-74.10844
