u,v,highway,length,speed_limit,time
21637960,2283636929,secondary,46.133,40,1.153325
21637960,286433005,secondary,7710.022,40,192.75055
21638011,370042353,tertiary,136.954,30,4.565133333
21638011,366164457,tertiary,25.798,30,0.859933333
21638013,366169231,residential,94.484,20,4.7242
21638013,366158477,tertiary,121.623,30,4.0541
21638013,366169236,tertiary,104.097,30,3.4699
21638030,388127383,secondary,27.927,40,0.698175
21638030,388127379,residential,61.901,20,3.09505
21638034,388146072,residential,110.149,20,5.50745
21638034,388133246,residential,101.57,20,5.0785
21638035,388157010,residential,91.568,20,4.5784
21638035,366548527,residential,117.455,20,5.87275
21638035,388170413,residential,95.486,20,4.7743
21638038,390832148,residential,259.009,20,12.95045
21638038,388157013,tertiary,99.219,30,3.3073
21638038,366548527,residential,58.559,20,2.92795
21638410,298573010,secondary,28.524,40,0.7131
21638444,390857047,unclassified,9.459,20,0.47295
21638444,347301949,unclassified,282.39,20,14.1195
25388116,250555090,tertiary,14.307,30,0.4769
25388116,250555241,tertiary,15.442,30,0.514733333
25388118,309567645,primary,28.891,50,0.57782
25388118,25388160,primary,125.459,50,2.50918
25388119,1233461524,tertiary,13.926,30,0.4642
25388119,257614737,tertiary,89.428,30,2.980933333
25388119,1217581272,residential,10.874,20,0.5437
25388130,252704528,living_street,13.112,20,0.6556
25388135,250555241,tertiary,61.9,30,2.063333333
25388138,427603381,primary,98.722,50,1.97444
25388138,427603383,tertiary,80.277,30,2.6759
25388157,25388138,primary,138.214,50,2.76428
25388157,247289919,tertiary,22.506,30,0.7502
25388160,25388135,tertiary,43.328,30,1.444266667
25388160,376051236,primary,210.77,50,4.2154
25388174,1436034969,residential,39.984,20,1.9992
25388174,25388184,residential,187.83,20,9.3915
25388175,279608763,residential,73.374,20,3.6687
25388175,2328077500,primary,416.779,50,8.33558
25388177,1217581272,residential,90.478,20,4.5239
25388179,309567647,tertiary,15.464,30,0.515466667
25388184,1420310674,residential,205.935,20,10.29675
25388187,25388184,residential,104.959,20,5.24795
25388187,25388192,residential,259.527,20,12.97635
25388192,358421550,residential,296.687,20,14.83435
25388192,25388195,residential,72.962,20,3.6481
25388195,758154256,residential,28.697,20,1.43485
25388197,25388404,tertiary,61.16,30,2.038666667
25388197,1233461509,tertiary,16.834,30,0.561133333
25388198,25388200,tertiary,61.495,30,2.049833333
25388198,609841943,tertiary,189.912,30,6.3304
25388200,301351647,tertiary,16.879,30,0.562633333
25388200,301351626,residential,45.57,20,2.2785
25388200,25388198,tertiary,61.495,30,2.049833333
25388259,756884998,residential,83.015,20,4.15075
25388260,25388261,residential,69.444,20,3.4722
25388260,366299102,residential,235.404,20,11.7702
25388261,756884830,residential,10.264,20,0.5132
25388261,756884998,residential,65.488,20,3.2744
25388262,25388261,residential,47.109,20,2.35545
25388263,25388200,residential,46.809,20,2.34045
25388263,25388262,residential,47.733,20,2.38665
25388284,25388259,residential,48.228,20,2.4114
25388284,25388177,residential,115.596,20,5.7798
25388289,358421550,residential,20.16,20,1.008
25388289,850866980,tertiary,56.155,30,1.871833333
25388289,677443038,tertiary,49.731,30,1.6577
25388377,309297808,tertiary,16.3,30,0.543333333
25388377,1397852758,tertiary,27.021,30,0.9007
25388387,758357762,tertiary,22.092,30,0.7364
25388387,247392542,tertiary,17.523,30,0.5841
25388387,758357801,residential,29.315,20,1.46575
25388389,281046403,tertiary,16.343,30,0.544766667
25388389,247392542,tertiary,97.143,30,3.2381
25388404,25388197,tertiary,61.16,30,2.038666667
25388404,758357762,tertiary,15.8,30,0.526666667
25418716,166217947,tertiary,29.369,30,0.978966667
25418716,247331318,primary,214.576,50,4.29152
25418716,252704519,residential,40.259,20,2.01295
25418716,1125488271,tertiary,131.069,30,4.368966667
25418882,25418884,tertiary,75.057,30,2.5019
25418882,246150528,"['tertiary', 'unclassified']",100.73,30,3.357666667
25418882,772443204,residential,71.606,20,3.5803
25418884,25418885,tertiary,78.862,30,2.628733333
25418884,1107360243,residential,69.786,20,3.4893
25418884,255455536,residential,180.579,20,9.02895
25418885,255457313,residential,176.643,20,8.83215
25418885,25418886,tertiary,80.362,30,2.678733333
25418885,772443198,residential,68.147,20,3.40735
25418886,25418887,tertiary,66.896,30,2.229866667
25418886,254528049,tertiary,86.113,30,2.870433333
25418887,25418888,tertiary,91.897,30,3.063233333
25418888,255448433,residential,37.902,20,1.8951
25418888,25418889,tertiary,145.794,30,4.8598
25418888,254528047,residential,86.838,20,4.3419
25418889,261870618,tertiary,506.869,30,16.89563333
25418889,25418891,tertiary,35.578,30,1.185933333
25418891,1578078710,tertiary,41.2,30,1.373333333
25418895,564995645,residential,101.892,20,5.0946
25418895,25418897,tertiary,114.045,30,3.8015
25418897,256575371,tertiary,24.322,30,0.810733333
25418897,595659429,tertiary,46.899,30,1.5633
25418915,270325411,secondary,10.823,40,0.270575
25418915,1351150950,secondary,120.011,40,3.000275
25418916,270325411,secondary,62.148,40,1.5537
25418916,252714294,residential,186.087,20,9.30435
25418916,4585419317,secondary,73.607,40,1.840175
25418918,25418919,secondary,75.947,40,1.898675
25418918,4150909524,tertiary,177.215,30,5.907166667
25418918,4585419317,secondary,85.226,40,2.13065
25418919,32633413,residential,92.492,20,4.6246
25418919,25418918,secondary,75.947,40,1.898675
25418919,669160650,secondary,29.791,40,0.744775
25418922,2141800773,tertiary,21.472,30,0.715733333
25418922,4286174885,residential,128.944,20,6.4472
25418922,669174322,secondary,114.072,40,2.8518
25418922,252609162,secondary,223.238,40,5.58095
25418929,246147728,tertiary,39.629,30,1.320966667
25418929,1107496231,secondary,40.96,40,1.024
25418929,246142109,secondary,195.769,40,4.894225
25418933,9193670040,residential,13.288,20,0.6644
25419073,32630947,tertiary,26.194,30,0.873133333
25419073,309302518,unclassified,448.47,20,22.4235
25419073,2390153661,tertiary,11.639,30,0.387966667
25419086,878856319,residential,42.916,20,2.1458
25419086,309303592,unclassified,73.119,20,3.65595
25419840,122551877,primary,254.953,50,5.09906
25419840,366299102,residential,53.115,20,2.65575
25419842,1001120018,residential,12.18,20,0.609
25419842,25419840,primary,315.73,50,6.3146
25419843,521790373,residential,47.512,20,2.3756
25419843,25419842,primary,99.724,50,1.99448
25643495,9657623428,residential,112.329,20,5.61645
25643495,257483809,secondary,103.765,40,2.594125
25643607,257752686,secondary,231.241,40,5.781025
25643607,270197928,secondary,42.969,40,1.074225
