grid_index,y,x
15,22.4625487,113.8904529
114,22.4681586,113.8790074
115,22.4682012,113.890411
116,22.4693985,113.8946326
190,22.4681425,114.5236516
213,22.471165,113.8766912
214,22.4700247,113.8841296
215,22.4700968,113.8899303
216,22.4722696,113.8980389
217,22.4720846,113.9069466
313,22.4757354,113.8746267
315,22.4761729,113.8891999
316,22.4749176,113.898551
317,22.4757551,113.9066715
389,22.4744775,114.5156868
390,22.475606,114.5220393
391,22.4765699,114.5297518
413,22.4806309,113.8771102
414,22.4800646,113.8825242
415,22.4811186,113.8896892
416,22.4803172,113.8985434
417,22.4788616,113.9057406
490,22.4791348,114.5239844
491,22.4793792,114.5307563
513,22.4844769,113.8725813
514,22.4829396,113.8814702
515,22.4823852,113.8909897
516,22.4833926,113.9014774
517,22.4819659,113.9072835
518,22.483286,113.9168341
519,22.4818503,113.9235178
520,22.4848067,113.9300469
585,22.4820865,114.4857198
589,22.4815043,114.5180853
590,22.4830727,114.5228254
592,22.4825076,114.538114
594,22.4829721,114.5550441
613,22.4860545,113.8724655
614,22.4852709,113.8820612
615,22.4851322,113.8898206
616,22.4869235,113.8995009
617,22.4861306,113.9079124
618,22.4872047,113.9153783
619,22.4867398,113.9247662
620,22.4849622,113.9326992
622,22.4869947,113.9474766
686,22.4876775,114.4900459
687,22.4856806,114.495374
689,22.4858137,114.5179065
690,22.4858038,114.5212965
691,22.4871185,114.5326881
693,22.4858815,114.5459482
713,22.4905943,113.8709365
714,22.4922557,113.8815297
715,22.4918509,113.8889418
717,22.4911834,113.9069272
718,22.4909545,113.9158907
719,22.4905913,113.9242654
720,22.491347,113.9320582
721,22.489486,113.9393056
722,22.4904083,113.9462353
786,22.4913596,114.4861479
791,22.4893197,114.5331765
792,22.4914165,114.538783
796,22.4924267,114.5774658
813,22.4954896,113.874122
814,22.4943213,113.8817952
815,22.494712,113.8886098
817,22.4936705,113.9084747
818,22.4946713,113.9157059
819,22.4941054,113.9244189
820,22.4936899,113.9324327
821,22.4959688,113.939036
892,22.493657,114.5403742
895,22.4958003,114.5666144
896,22.4954522,114.5756174
912,22.4977916,113.8685166
913,22.4974237,113.8762054
914,22.4984989,113.8797979
915,22.4984039,113.8914647
916,22.4992943,113.9011179
917,22.4967399,113.9102137
918,22.4995687,113.9160891
919,22.4976745,113.9242004
920,22.498809,113.9326168
921,22.4990462,113.9428524
995,22.4979269,114.563302
996,22.4967515,114.573824
1012,22.5007696,113.8680731
1013,22.5026475,113.8743053
1014,22.5022864,113.8833431
1015,22.5015291,113.8904532
1016,22.5036482,113.8964807
1018,22.500829,113.9160956
1019,22.5026468,113.9243297
1020,22.5023544,113.9323238
1021,22.5021776,113.9403404
1022,22.5021709,113.9467913
1034,22.5036934,114.0512219
1091,22.5014397,114.5315694
1092,22.5037599,114.5385968
1093,22.5018773,114.5483818
1114,22.5060649,113.8815078
1115,22.5059527,113.8898621
1116,22.5052712,113.8964432
1118,22.5057246,113.9150733
1119,22.5058815,113.9238531
1120,22.5053771,113.932972
1121,22.5058888,113.9405705
1122,22.5064394,113.9468666
1132,22.5077491,114.0374379
1133,22.5062371,114.0420525
1134,22.505694,114.0509284
1192,22.5076784,114.538157
1212,22.5090008,113.8638358
1213,22.5099383,113.871772
1214,22.509617,113.8821836
1215,22.5088852,113.8915164
1216,22.5101183,113.8975421
1217,22.5112127,113.9107669
1218,22.5103774,113.9154209
1219,22.5093886,113.9243303
1220,22.509565,113.9321825
1221,22.507913,113.9404048
1222,22.5092962,113.9467661
1232,22.5098304,114.0361482
1233,22.5097582,114.0427059
1234,22.5096312,114.0503257
1235,22.5111009,114.0562865
1287,22.5087454,114.4977849
1290,22.5089806,114.5223116
1312,22.5138341,113.8653632
1313,22.5136741,113.8743628
1314,22.5137139,113.8811324
1315,22.5149608,113.8927044
1316,22.5132992,113.9002914
1317,22.5134717,113.907188
1318,22.5131666,113.9157611
1319,22.5136512,113.9235995
1320,22.5132642,113.9327633
1321,22.5131831,113.9388685
1322,22.5117655,113.9473042
1332,22.5145675,114.0376851
1333,22.5129557,114.0418981
1334,22.5132968,114.0499357
1335,22.5144817,114.0589308
1385,22.5136274,114.4799408
1413,22.5166434,113.8740114
1414,22.5174013,113.8820583
1415,22.5172942,113.8897063
1416,22.5172741,113.8995729
1417,22.5168301,113.9064095
1418,22.5171228,113.9164589
1419,22.517034,113.9241434
1420,22.5168535,113.9318881
1421,22.5175824,113.9400207
1422,22.5177424,113.9483756
1432,22.5182707,114.033509
1433,22.5177522,114.0419238
1434,22.5177271,114.0507544
1435,22.5173835,114.0596056
1436,22.5184623,114.0659735
1513,22.5209909,113.8734618
1514,22.5213577,113.8811708
1515,22.5204259,113.8916179
1516,22.5208943,113.8988411
1517,22.5202605,113.9075087
1518,22.5201558,113.9161484
1519,22.5215869,113.923581
1520,22.5208031,113.9322191
1521,22.5211955,113.9408275
1522,22.5209849,113.9487852
