osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
6031376059,22.4625487,113.8904529,3,,,POINT (113.8904529 22.4625487),0,15,15,22.4639966555,113.8901123845,0.16476363762987514
9863117854,22.4681586,113.8790074,1,,,POINT (113.8790074 22.4681586),1,14,114,22.4678031665,113.8816617855,0.27559859369024164
2458770635,22.4682012,113.890411,3,,,POINT (113.890411 22.4682012),1,15,115,22.4678031665,113.8901123845,0.05385534949307386
2458770698,22.4693985,113.8946326,3,,,POINT (113.8946326 22.4693985),1,16,116,22.4678031665,113.8985629835,0.44110470500759397
6505221644,22.4681425,114.5236516,1,,,POINT (114.5236516 22.4681425),1,90,190,22.4678031665,114.5239073095,0.045979424534713036
5212671735,22.471165,113.8766912,3,,,POINT (113.8766912 22.471165),2,13,213,22.471609677500002,113.8732111865,0.36098068557328955
1169609677,22.4700247,113.8841296,1,,,POINT (113.8841296 22.4700247),2,14,214,22.471609677500002,113.8816617855,0.30880532080278356
2458770661,22.4700968,113.8899303,1,,,POINT (113.8899303 22.4700968),2,15,215,22.471609677500002,113.8901123845,0.16926152993359694
1169592110,22.4722696,113.8980389,3,,,POINT (113.8980389 22.4722696),2,16,216,22.471609677500002,113.8985629835,0.09101919459411305
5244377195,22.4720846,113.9069466,2,,,POINT (113.9069466 22.4720846),2,17,217,22.471609677500002,113.9070135825,0.053255583864301265
5212671058,22.4757354,113.8746267,4,,traffic_signals,POINT (113.8746267 22.4757354),3,13,313,22.475416188500002,113.8732111865,0.1497109199304982
5999844076,22.4761729,113.8891999,3,,,POINT (113.8891999 22.4761729),3,15,315,22.475416188500002,113.8901123845,0.12597719468555632
2458770625,22.4749176,113.898551,3,,,POINT (113.898551 22.4749176),3,16,316,22.475416188500002,113.8985629835,0.055454183085906446
11265106528,22.4757551,113.9066715,1,,,POINT (113.9066715 22.4757551),3,17,317,22.475416188500002,113.9070135825,0.051532513400654095
11218944181,22.4744775,114.5156868,3,,,POINT (114.5156868 22.4744775),3,89,389,22.475416188500002,114.5154567105,0.10702132370792872
1119008861,22.475606,114.5220393,3,,,POINT (114.5220393 22.475606),3,90,390,22.475416188500002,114.5239073095,0.19309288092871163
8839226146,22.4765699,114.5297518,1,,,POINT (114.5297518 22.4765699),3,91,391,22.475416188500002,114.5323579085,0.2969180819499487
2289583371,22.4806309,113.8771102,3,,,POINT (113.8771102 22.4806309),4,13,413,22.4792226995,113.8732111865,0.430121372579384
1169593517,22.4800646,113.8825242,3,,,POINT (113.8825242 22.4800646),4,14,414,22.4792226995,113.8816617855,0.12890082396283178
9584775900,22.4811186,113.8896892,3,,,POINT (113.8896892 22.4811186),4,15,415,22.4792226995,113.8901123845,0.2152517016017414
9584778879,22.4803172,113.8985434,3,,,POINT (113.8985434 22.4803172),4,16,416,22.4792226995,113.8985629835,0.12171953493072678
7314487074,22.4788616,113.9057406,3,,,POINT (113.9057406 22.4788616),4,17,417,22.4792226995,113.9070135825,0.13681865073294924
4084884283,22.4791348,114.5239844,3,,,POINT (114.5239844 22.4791348),4,90,490,22.4792226995,114.5239073095,0.012580500669873098
8839226042,22.4793792,114.5307563,1,,,POINT (114.5307563 22.4793792),4,91,491,22.4792226995,114.5323579085,0.16547657280479364
1169594629,22.4844769,113.8725813,1,,,POINT (113.8725813 22.4844769),5,13,513,22.4830292105,113.8732111865,0.1734975015640189
9863117820,22.4829396,113.8814702,3,,,POINT (113.8814702 22.4829396),5,14,514,22.4830292105,113.8816617855,0.022062437490396037
9584778961,22.4823852,113.8909897,1,,,POINT (113.8909897 22.4823852),5,15,515,22.4830292105,113.8901123845,0.11512186591892183
9206841555,22.4833926,113.9014774,3,,,POINT (113.9014774 22.4833926),5,16,516,22.4830292105,113.8985629835,0.30215046359337033
9902164778,22.4819659,113.9072835,4,,,POINT (113.9072835 22.4819659),5,17,517,22.4830292105,113.9070135825,0.1214435423542157
5250978840,22.483286,113.9168341,1,,,POINT (113.9168341 22.483286),5,18,518,22.4830292105,113.9154641815,0.14361695720125128
3652820763,22.4818503,113.9235178,1,,,POINT (113.9235178 22.4818503),5,19,519,22.4830292105,113.9239147805,0.1372876253096558
2408433281,22.4848067,113.9300469,4,,,POINT (113.9300469 22.4848067),5,20,520,22.4830292105,113.9323653795,0.30952723801842524
3215737697,22.4820865,114.4857198,1,,,POINT (114.4857198 22.4820865),5,85,585,22.4830292105,114.4816543145,0.4306552004102286
4084884691,22.4815043,114.5180853,1,,,POINT (114.5180853 22.4815043),5,89,589,22.4830292105,114.5154567105,0.3188886746902115
3215449224,22.4830727,114.5228254,3,,,POINT (114.5228254 22.4830727),5,90,590,22.4830292105,114.5239073095,0.11126409023995792
3215449264,22.4825076,114.538114,1,,,POINT (114.538114 22.4825076),5,92,592,22.4830292105,114.5408085075,0.2828536461199783
4065276795,22.4829721,114.5550441,1,,,POINT (114.5550441 22.4829721),5,94,594,22.4830292105,114.5577097055,0.27394681987445635
5212671109,22.4860545,113.8724655,3,,,POINT (113.8724655 22.4860545),6,13,613,22.4868357215,113.8732111865,0.11582524880467979
2556616012,22.4852709,113.8820612,3,,,POINT (113.8820612 22.4852709),6,14,614,22.4868357215,113.8816617855,0.17877373831105642
2556870270,22.4851322,113.8898206,1,,,POINT (113.8898206 22.4851322),6,15,615,22.4868357215,113.8901123845,0.1917804730006672
1222744174,22.4869235,113.8995009,1,,,POINT (113.8995009 22.4869235),6,16,616,22.4868357215,113.8985629835,0.09685503245595847
294966576,22.4861306,113.9079124,3,,,POINT (113.9079124 22.4861306),6,17,617,22.4868357215,113.9070135825,0.12114092564993563
2408433396,22.4872047,113.9153783,4,,,POINT (113.9153783 22.4872047),6,18,618,22.4868357215,113.9154641815,0.04196659319946094
2408433277,22.4867398,113.9247662,4,,traffic_signals,POINT (113.9247662 22.4867398),6,19,619,22.4868357215,113.9239147805,0.08812314786370579
2408433279,22.4849622,113.9326992,1,,,POINT (113.9326992 22.4849622),6,20,620,22.4868357215,113.9323653795,0.21113041005270858
6184014007,22.4869947,113.9474766,3,,,POINT (113.9474766 22.4869947),6,22,622,22.4868357215,113.9492665775,0.18475073395723346
3215737871,22.4876775,114.4900459,3,,,POINT (114.4900459 22.4876775),6,86,686,22.4868357215,114.4901049135,0.0937976609462353
6354524307,22.4856806,114.495374,1,,,POINT (114.495374 22.4856806),6,87,687,22.4868357215,114.4985555125,0.3512018822290403
3215449091,22.4858137,114.5179065,1,,,POINT (114.5179065 22.4858137),6,89,689,22.4868357215,114.5154567105,0.2761602609094929
3215449213,22.4858038,114.5212965,3,,,POINT (114.5212965 22.4858038),6,90,690,22.4868357215,114.5239073095,0.2917486813238922
3215449120,22.4871185,114.5326881,3,,,POINT (114.5326881 22.4871185),6,91,691,22.4868357215,114.5323579085,0.0462550947414262
4065276853,22.4858815,114.5459482,3,,,POINT (114.5459482 22.4858815),6,93,693,22.4868357215,114.5492591065,0.3563293939677514
5212671295,22.4905943,113.8709365,3,,,POINT (113.8709365 22.4905943),7,13,713,22.4906422325,113.8732111865,0.23375679121785187
8223640351,22.4922557,113.8815297,1,,,POINT (113.8815297 22.4922557),7,14,714,22.4906422325,113.8816617855,0.17992187166096985
2540889613,22.4918509,113.8889418,1,,,POINT (113.8889418 22.4918509),7,15,715,22.4906422325,113.8901123845,0.18034919328740553
1214404252,22.4911834,113.9069272,3,,,POINT (113.9069272 22.4911834),7,17,717,22.4906422325,113.9070135825,0.06082598907258271
1215713309,22.4909545,113.9158907,3,,,POINT (113.9158907 22.4909545),7,18,718,22.4906422325,113.9154641815,0.05590887092656752
9657459831,22.4905913,113.9242654,4,,,POINT (113.9242654 22.4905913),7,19,719,22.4906422325,113.9239147805,0.036464326860747374
1169606189,22.491347,113.9320582,3,,,POINT (113.9320582 22.491347),7,20,720,22.4906422325,113.9323653795,0.08448241685369327
5192382251,22.489486,113.9393056,3,,,POINT (113.9393056 22.489486),7,21,721,22.4906422325,113.9408159785,0.20151503345722319
1928748086,22.4904083,113.9462353,3,,,POINT (113.9462353 22.4904083),7,22,722,22.4906422325,113.9492665775,0.3125110871898786
3215738168,22.4913596,114.4861479,1,,,POINT (114.4861479 22.4913596),7,86,786,22.4906422325,114.4901049135,0.4142851407198096
1119008727,22.4893197,114.5331765,3,,,POINT (114.5331765 22.4893197),7,91,791,22.4906422325,114.5323579085,0.16940846830214562
1119008556,22.4914165,114.538783,3,,,POINT (114.538783 22.4914165),7,92,792,22.4906422325,114.5408085075,0.22520201902090095
3215937910,22.4924267,114.5774658,3,,,POINT (114.5774658 22.4924267),7,96,796,22.4906422325,114.5746109035,0.35411710874618013
1169606747,22.4954896,113.874122,1,,,POINT (113.874122 22.4954896),8,13,813,22.4944487435,113.8732111865,0.1488320574016921
1169604972,22.4943213,113.8817952,3,,,POINT (113.8817952 22.4943213),8,14,814,22.4944487435,113.8816617855,0.01971503353184703
2540952504,22.494712,113.8886098,4,,,POINT (113.8886098 22.494712),8,15,815,22.4944487435,113.8901123845,0.15711862172372587
5865250281,22.4936705,113.9084747,4,,,POINT (113.9084747 22.4936705),8,17,817,22.4944487435,113.9070135825,0.17326582233457793
