osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index
266992397,22.5405032,114.1045038,4,,,POINT (114.1045038 22.5405032),20,40,2040
267005520,22.530216,114.0034918,3,,,POINT (114.0034918 22.530216),17,28,1728
267005525,22.5293131,113.9972635,3,,,POINT (113.9972635 22.5293131),17,28,1728
267005863,22.5308944,114.0144321,3,,,POINT (114.0144321 22.5308944),18,30,1830
267005864,22.5298415,114.009271,3,,,POINT (114.009271 22.5298415),17,29,1729
267601452,22.5381585,114.0937728,3,,,POINT (114.0937728 22.5381585),19,39,1939
267602001,22.548977,113.9881356,3,2270,motorway_junction,POINT (113.9881356 22.548977),22,27,2227
267602507,22.5446178,113.9052629,3,,,POINT (113.9052629 22.5446178),21,17,2117
267602518,22.545367,113.9043606,3,,,POINT (113.9043606 22.545367),21,17,2117
267602574,22.5311913,113.9136106,5,,traffic_signals,POINT (113.9136106 22.5311913),18,18,1818
269920080,22.5318095,114.0671931,3,,,POINT (114.0671931 22.5318095),18,36,1836
276924446,22.5902018,113.9022082,3,2259,motorway_junction,POINT (113.9022082 22.5902018),33,16,3316
276926174,22.5766619,113.914816,3,,,POINT (113.914816 22.5766619),30,18,3018
276927296,22.5680999,113.9234574,4,,,POINT (113.9234574 22.5680999),27,19,2719
277049917,22.5661821,113.9317428,3,,,POINT (113.9317428 22.5661821),27,20,2720
277049919,22.566042,113.9309169,3,,,POINT (113.9309169 22.566042),27,20,2720
277049979,22.5579807,113.928874,3,,,POINT (113.928874 22.5579807),25,20,2520
277049982,22.555519,113.926097,3,,,POINT (113.926097 22.555519),24,19,2419
277049983,22.5555794,113.9225111,4,3B,motorway_junction,POINT (113.9225111 22.5555794),24,19,2419
277049989,22.5548879,113.9147171,4,,,POINT (113.9147171 22.5548879),24,18,2418
277049991,22.5527436,113.910968,4,,,POINT (113.910968 22.5527436),23,17,2317
277050021,22.5591166,113.9021045,3,,,POINT (113.9021045 22.5591166),25,16,2516
277050030,22.5766051,113.8829096,3,,,POINT (113.8829096 22.5766051),30,14,3014
