u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,bridge,maxspeed,tunnel,access,width,junction
266992397,8244777843,0,97240783,False,2,木棉花街,tertiary,False,9.086,"LINESTRING (114.1045038 22.5405032, 114.104493 22.5405407, 114.1044762 22.5405807)",,,,,,,
266992397,1126423002,0,97240783,False,2,木棉花街,tertiary,True,204.696,"LINESTRING (114.1045038 22.5405032, 114.1045114 22.5404514, 114.1045135 22.5404184, 114.1045155 22.5403855, 114.1045426 22.5386631)",,,,,,,
266992397,3583682986,0,193926052,False,,,unclassified,True,258.611,"LINESTRING (114.1045038 22.5405032, 114.1045634 22.5404915, 114.1046211 22.5404783, 114.1046788 22.5404651, 114.1050172 22.5404162, 114.1050795 22.5404042, 114.1051435 22.5403848, 114.1051962 22.5403604, 114.1052432 22.5403272, 114.105285 22.5402812, 114.1053183 22.5402376, 114.1057123 22.5395671, 114.1057687 22.5394709, 114.105801 22.5394268, 114.105837 22.5393859, 114.1058808 22.5393508, 114.105935 22.5393108, 114.1060321 22.5392521, 114.1063033 22.539093)",,,,,,,
266992397,8244777741,0,478022251,True,2,嘉宾路,secondary,False,83.74300000000001,"LINESTRING (114.1045038 22.5405032, 114.1045417 22.5405346, 114.1045915 22.5405888, 114.1046167 22.5406161, 114.1049643 22.5409982, 114.104983 22.541019, 114.1050018 22.5410378, 114.1050217 22.5410556, 114.1050395 22.54107)",,,,,,,
267005520,498489686,0,231542499,True,,,trunk_link,False,110.481,"LINESTRING (114.0034918 22.530216, 114.0029347 22.5303366, 114.0026951 22.5303775, 114.0024377 22.5304102)",,,,,,,
267005520,267005525,0,357768082,True,5,滨海大道,trunk,False,655.131,"LINESTRING (114.0034918 22.530216, 114.0030656 22.5302444, 114.0026449 22.5302652, 114.0020312 22.5302692, 114.0013989 22.5302534, 114.0008259 22.5302101, 114.0002095 22.5301329, 113.999588 22.5300315, 113.999108 22.5299233, 113.9986913 22.5298128, 113.9981698 22.5296565, 113.9977553 22.5295074, 113.9972635 22.5293131)",S550,,,,,,
267005525,7719526858,0,40828707,True,,,trunk_link,False,107.25399999999999,"LINESTRING (113.9972635 22.5293131, 113.9969251 22.5292192, 113.996769 22.529194, 113.9966776 22.5291741, 113.9964333 22.529114, 113.9963483 22.5290935, 113.9962549 22.5290665)",,,,,,,
267005525,3292355237,0,357768082,True,5,滨海大道,trunk,False,937.4989999999999,"LINESTRING (113.9972635 22.5293131, 113.9967086 22.5290764, 113.9961706 22.5288123, 113.995678 22.5285202, 113.9950289 22.528106, 113.9937742 22.5272514, 113.9931456 22.5268331, 113.9925168 22.5264486, 113.9918361 22.5260625, 113.9911637 22.5257212, 113.9906685 22.5254856, 113.9901303 22.5252504, 113.9894604 22.5249905)",S550,,,,,,
267005863,498489656,0,1051282768,True,,滨河大道辅路,primary,False,97.339,"LINESTRING (114.0144321 22.5308944, 114.013491 22.5307911)",,,,,,,
267005863,267005864,0,1051282764,True,,滨河大道,trunk,False,543.319,"LINESTRING (114.0144321 22.5308944, 114.0107375 22.5300626, 114.0101701 22.5299553, 114.0097082 22.5298831, 114.009271 22.5298415)",S550,,,,,,
267005864,6003859424,0,1051307487,True,5,滨海大道,trunk,False,169.957,"LINESTRING (114.009271 22.5298415, 114.008779 22.529796, 114.0084892 22.5297739, 114.0080395 22.5297526, 114.0076203 22.5297494)",S550,,,,,,
267601452,528737856,0,25423077,True,,滨河大道,trunk,False,580.1310000000001,"LINESTRING (114.0937728 22.5381585, 114.0921808 22.5381995, 114.0918834 22.5382031, 114.091633 22.5381959, 114.0913465 22.5381804, 114.0910837 22.5381506, 114.0908662 22.5381176, 114.0906629 22.5380779, 114.0903059 22.5380048, 114.0893257 22.5377998, 114.0888323 22.5377017, 114.0881945 22.5375735)",S550,,,,,,
267601452,528737787,0,"[996207964, 672979245]",True,,滨河大道辅路,"['trunk_link', 'primary']",False,179.883,"LINESTRING (114.0937728 22.5381585, 114.0935275 22.5381946, 114.0929405 22.5383007, 114.0926406 22.5383331, 114.0920376 22.5383379)",,,,,,,
267602001,1722822969,0,"[160220792, 160220797, 25588751]",True,2,,motorway_link,False,1092.237,"LINESTRING (113.9881356 22.548977, 113.9877861 22.5491932, 113.9859399 22.5504325, 113.9854409 22.5507378, 113.9850533 22.5509752, 113.9840408 22.5515416, 113.9828982 22.5522585, 113.9827226 22.5523843, 113.9826161 22.5525026, 113.9825185 22.5526523, 113.9824756 22.5527863, 113.98247 22.5529585, 113.9824864 22.5531027, 113.9825259 22.5532277, 113.9827524 22.5536231, 113.9828499 22.553836, 113.9829439 22.5540707, 113.9829991 22.5542771, 113.9830405 22.5544992, 113.9830718 22.5547776, 113.9831047 22.5552536, 113.9831472 22.555983)",,viaduct,,,,,
267602001,10795480305,0,"[687537992, 687537993, 96328137, 96328141, 45730644, 687529436, 687529437]",True,"['4', '3']","['10#桥', 'K108+651小桥', 'K107+233小桥', '京港澳高速']",motorway,False,2895.9929999999995,"LINESTRING (113.9881356 22.548977, 113.9873494 22.5493577, 113.9867554 22.5496696, 113.9860346 22.5500618, 113.9849892 22.5506708, 113.9833922 22.5516441, 113.982611 22.552162, 113.9820635 22.5525543, 113.9817803 22.5527619, 113.9814087 22.5530303, 113.9805169 22.5537318, 113.9778305 22.5559769, 113.9770791 22.556571, 113.9767631 22.5567969, 113.9762779 22.5571414, 113.9759261 22.5573732, 113.9753857 22.5577158, 113.974887 22.5580131, 113.9743406 22.558323, 113.9738634 22.5585783, 113.9732528 22.5588867, 113.9727309 22.5591291, 113.9722729 22.5593347, 113.9718208 22.5595286, 113.9713791 22.5597069, 113.9709174 22.5598852, 113.9708319 22.5599157, 113.9705765 22.5600068, 113.9702355 22.5601283, 113.9692195 22.5604429, 113.96812 22.5607492, 113.9647762 22.5615207, 113.9639812 22.5617041)",G4,yes,"['120', '100']",,,,
267602507,2401176953,0,231787772,True,,宝安大道,primary,False,113.85000000000001,"LINESTRING (113.9052629 22.5446178, 113.9050678 22.5446283, 113.9048862 22.5446465, 113.904657 22.5446818, 113.9044335 22.5447312, 113.9041782 22.5448075)",,yes,,,,,
267602518,2457761634,0,165265378,True,,,primary_link,False,110.792,"LINESTRING (113.9043606 22.545367, 113.9043859 22.5443709)",,,,,,,
267602574,2420580046,0,233713929,True,,南新路,secondary,False,62.72,"LINESTRING (113.9136106 22.5311913, 113.9138095 22.530658)",Y037,,,,,,
267602574,2420580030,0,1185912016,False,,学府路,secondary,True,12.216,"LINESTRING (113.9136106 22.5311913, 113.9137295 22.5311886)",,,,,,,
267602574,9197027678,0,1055022192,True,2,学府路,secondary,False,143.37,"LINESTRING (113.9136106 22.5311913, 113.9134131 22.531221, 113.9122178 22.5312531)",,,,,,,
269920080,6033482390,0,25423077,True,,滨河大道,trunk,False,901.727,"LINESTRING (114.0671931 22.5318095, 114.0603502 22.5316982, 114.0584153 22.5316493)",S550,,,,,,
269920080,8109971648,0,640465232,True,2,,trunk_link,False,260.429,"LINESTRING (114.0671931 22.5318095, 114.0668773 22.5318287, 114.0664481 22.5318637, 114.0662916 22.531873, 114.0653458 22.5318722, 114.0646606 22.5318959)",,,,,,,
