"city","node_count","user_id","repeat_id","epsilon","method","status","memory_cost_bytes","runtime_sec","detail"
"rome","2000","1","1","4","EM","ok","656000","0.0065269","loss=7286.8855; mem_delta=327680; major_bytes=656000"
"rome","2000","1","1","4","Laplace","ok","640000","0.0271004","loss=3.7337028; time_laplace=0.003971; mem_delta=5369856; major_bytes=640000"
"rome","2000","1","1","4","RMP","ok","976488","0.043365","loss=5994.9845; mem_delta=56004608; major_bytes=976488"
"rome","2000","1","1","4","LP","estimated_infeasible","25587200000000","NaN","Dense full-LP A estimate only: rows=7.996e+07; cols=40000; bytes=2.55872e+13"
"rome","2000","1","1","4","LP-A","estimated","392000000","NaN","LP-A coarse dense A estimate only: coarse_records=50; obf=20; rows=49000; cols=1000; bytes=3.92e+08"
"rome","2000","1","1","4","COPT","not_available","NaN","NaN","COPT implementation is not present in the provided baseline folder"
"rome","2000","1","1","7","EM","ok","656000","0.0017165","loss=7152.7003; mem_delta=0; major_bytes=656000"
"rome","2000","1","1","7","Laplace","ok","640000","0.0060332","loss=3.7333129; time_laplace=0.001509; mem_delta=0; major_bytes=640000"
"rome","2000","1","1","7","RMP","ok","976488","0.0444287","loss=5898.7543; mem_delta=0; major_bytes=976488"
"rome","2000","1","1","7","LP","estimated_infeasible","25587200000000","NaN","Dense full-LP A estimate only: rows=7.996e+07; cols=40000; bytes=2.55872e+13"
"rome","2000","1","1","7","LP-A","estimated","392000000","NaN","LP-A coarse dense A estimate only: coarse_records=50; obf=20; rows=49000; cols=1000; bytes=3.92e+08"
"rome","2000","1","1","7","COPT","not_available","NaN","NaN","COPT implementation is not present in the provided baseline folder"
"rome","2000","1","1","10","EM","ok","656000","0.0013034","loss=7058.2901; mem_delta=0; major_bytes=656000"
"rome","2000","1","1","10","Laplace","ok","640000","0.0026901","loss=3.7330895; time_laplace=0.00138; mem_delta=0; major_bytes=640000"
"rome","2000","1","1","10","RMP","ok","976488","0.0368286","loss=5816.7359; mem_delta=0; major_bytes=976488"
"rome","2000","1","1","10","LP","estimated_infeasible","25587200000000","NaN","Dense full-LP A estimate only: rows=7.996e+07; cols=40000; bytes=2.55872e+13"
"rome","2000","1","1","10","LP-A","estimated","392000000","NaN","LP-A coarse dense A estimate only: coarse_records=50; obf=20; rows=49000; cols=1000; bytes=3.92e+08"
"rome","2000","1","1","10","COPT","not_available","NaN","NaN","COPT implementation is not present in the provided baseline folder"
"rome","2000","1","1","4","PAnDA","skipped","NaN","NaN","MEMTABLE_RUN_PANDA=false"
"rome","2000","1","1","7","PAnDA","skipped","NaN","NaN","MEMTABLE_RUN_PANDA=false"
