"city","method","records2000_eps4","records2000_eps7","records2000_eps10","records4000_eps4","records4000_eps7","records4000_eps10","records6000_eps4","records6000_eps7","records6000_eps10"
"rome","EM","656.00 KB","656.00 KB","656.00 KB","1.31 MB","1.31 MB","1.31 MB","1.97 MB","1.97 MB","1.97 MB"
"rome","Laplace","640.00 KB","640.00 KB","640.00 KB","1.28 MB","1.28 MB","1.28 MB","1.92 MB","1.92 MB","1.92 MB"
"rome","RMP","976.49 KB","976.49 KB","976.49 KB","1.95 MB","1.95 MB","1.95 MB","2.93 MB","2.93 MB","2.93 MB"
"rome","COPT","---","---","---","---","---","---","---","---","---"
"rome","LP","25.6 TB","25.6 TB","25.6 TB","204.7 TB","204.7 TB","204.7 TB","691.1 TB","691.1 TB","691.1 TB"
"rome","LP-A","392.00 MB","392.00 MB","392.00 MB","392.00 MB","392.00 MB","392.00 MB","392.00 MB","392.00 MB","392.00 MB"
"rome","PAnDA","965.90 KB","965.90 KB","965.90 KB","6.00 MB","6.00 MB","6.00 MB","17.71 MB","17.71 MB","17.71 MB"
"london","EM","656.00 KB","656.00 KB","656.00 KB","1.31 MB","1.31 MB","1.31 MB","1.97 MB","1.97 MB","1.97 MB"
"london","Laplace","640.00 KB","640.00 KB","640.00 KB","1.28 MB","1.28 MB","1.28 MB","1.92 MB","1.92 MB","1.92 MB"
"london","RMP","976.49 KB","976.49 KB","976.49 KB","1.95 MB","1.95 MB","1.95 MB","2.93 MB","2.93 MB","2.93 MB"
"london","COPT","---","---","---","---","---","---","---","---","---"
"london","LP","25.6 TB","25.6 TB","25.6 TB","204.7 TB","204.7 TB","204.7 TB","691.1 TB","691.1 TB","691.1 TB"
"london","LP-A","522.72 MB","522.72 MB","522.72 MB","522.72 MB","522.72 MB","522.72 MB","522.72 MB","522.72 MB","522.72 MB"
"london","PAnDA","242.70 KB","242.70 KB","242.70 KB","609.90 KB","609.90 KB","609.90 KB","2.04 MB","2.04 MB","2.04 MB"
"nyc","EM","656.00 KB","656.00 KB","656.00 KB","1.31 MB","1.31 MB","1.31 MB","1.97 MB","1.97 MB","1.97 MB"
"nyc","Laplace","640.00 KB","640.00 KB","640.00 KB","1.28 MB","1.28 MB","1.28 MB","1.92 MB","1.92 MB","1.92 MB"
"nyc","RMP","976.49 KB","976.49 KB","976.49 KB","1.95 MB","1.95 MB","1.95 MB","2.93 MB","2.93 MB","2.93 MB"
"nyc","COPT","---","---","---","---","---","---","---","---","---"
"nyc","LP","25.6 TB","25.6 TB","25.6 TB","204.7 TB","204.7 TB","204.7 TB","691.1 TB","691.1 TB","691.1 TB"
"nyc","LP-A","184.95 MB","184.95 MB","184.95 MB","184.95 MB","184.95 MB","184.95 MB","184.95 MB","184.95 MB","184.95 MB"
"nyc","PAnDA","288.78 KB","288.78 KB","288.78 KB","1.38 MB","1.38 MB","1.38 MB","2.40 MB","2.40 MB","2.40 MB"
