city,node_count,user_id,repeat_id,epsilon,n_selected,k_obf,dense_A_rows,dense_A_cols,dense_A_bytes,centralized_sparse_A_nnz,centralized_sparse_A_estimated_bytes,benders_master_estimated_bytes,benders_subproblem_estimated_bytes,benders_total_estimated_bytes,benders_boundary_nodes,benders_boundary_edges,benders_intra_edges,selection_workspace_bytes
rome,2000,1,1,4,76,20,114000,1520,1386240000,228000,3660168,177496,788400,965896,47,230,294,64000000
rome,2000,1,1,7,76,20,114000,1520,1386240000,228000,3660168,177496,788400,965896,47,230,294,64000000
rome,2000,1,1,10,76,20,114000,1520,1386240000,228000,3660168,177496,788400,965896,47,230,294,64000000
rome,4000,1,1,4,191,20,725800,3820,22180448000,1451600,23256168,891736,5106800,5998536,99,1294,1954,256000000
rome,4000,1,1,7,191,20,725800,3820,22180448000,1451600,23256168,891736,5106800,5998536,99,1294,1954,256000000
rome,4000,1,1,10,191,20,725800,3820,22180448000,1451600,23256168,891736,5106800,5998536,99,1294,1954,256000000
rome,6000,1,1,4,352,20,2471040,7040,139168972800,4942080,79129608,1363416,16351440,17714856,150,1980,6302,576000000
rome,6000,1,1,7,352,20,2471040,7040,139168972800,4942080,79129608,1363416,16351440,17714856,150,1980,6302,576000000
rome,6000,1,1,10,352,20,2471040,7040,139168972800,4942080,79129608,1363416,16351440,17714856,150,1980,6302,576000000
london,2000,1,1,4,43,20,36120,860,248505600,72240,1162728,13656,229040,242696,9,12,76,64000000
london,2000,1,1,7,43,20,36120,860,248505600,72240,1162728,13656,229040,242696,9,12,76,64000000
london,2000,1,1,10,43,20,36120,860,248505600,72240,1162728,13656,229040,242696,9,12,76,64000000
london,4000,1,1,4,71,20,99400,1420,1129184000,198800,3192168,38616,571280,609896,18,42,202,256000000
london,4000,1,1,7,71,20,99400,1420,1129184000,198800,3192168,38616,571280,609896,18,42,202,256000000
london,4000,1,1,10,71,20,99400,1420,1129184000,198800,3192168,38616,571280,609896,18,42,202,256000000
london,6000,1,1,4,124,20,305040,2480,6051993600,610080,9781128,60376,1984400,2044776,24,70,736,576000000
london,6000,1,1,7,124,20,305040,2480,6051993600,610080,9781128,60376,1984400,2044776,24,70,736,576000000
london,6000,1,1,10,124,20,305040,2480,6051993600,610080,9781128,60376,1984400,2044776,24,70,736,576000000
nyc,2000,1,1,4,54,20,57240,1080,494553600,114480,1840328,52056,236720,288776,19,62,78,64000000
nyc,2000,1,1,7,54,20,57240,1080,494553600,114480,1840328,52056,236720,288776,19,62,78,64000000
nyc,2000,1,1,10,54,20,57240,1080,494553600,114480,1840328,52056,236720,288776,19,62,78,64000000
nyc,4000,1,1,4,102,20,206040,2040,3362572800,412080,6609608,80216,1298480,1378696,23,102,476,256000000
nyc,4000,1,1,7,102,20,206040,2040,3362572800,412080,6609608,80216,1298480,1378696,23,102,476,256000000
nyc,4000,1,1,10,102,20,206040,2040,3362572800,412080,6609608,80216,1298480,1378696,23,102,476,256000000
nyc,6000,1,1,4,129,20,330240,2580,6816153600,660480,10588328,130776,2266000,2396776,30,174,846,576000000
nyc,6000,1,1,7,129,20,330240,2580,6816153600,660480,10588328,130776,2266000,2396776,30,174,846,576000000
nyc,6000,1,1,10,129,20,330240,2580,6816153600,660480,10588328,130776,2266000,2396776,30,174,846,576000000
