Location,OuterIters,Converged,StopReason,TimeTotal_s,TimePermutation_s,TimeFitInit_s,TimeFitLoop_s,TimeFitTotal_s,PermFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts,FinalLoss
1,11,1,no_improving_swap,13.4675566,0.6062519,0.6029184,6.1471913,6.7501097,4.50157306188711,50.1212647585977,2310,123,2130.32919079436
2,11,1,no_improving_swap,13.6630672,0.6452552,0.5825083,6.1948599,6.7773682,4.72262333599589,49.603563393145,2310,133,2103.72605768626
3,11,1,no_improving_swap,13.4523754,0.6241783,0.5352323,6.134179,6.6694113,4.6399114018183,49.5779451709324,2310,135,2102.09437922287
4,13,1,no_improving_swap,16.2427214,0.7567892,0.5778536,7.424413,8.0022666,4.65925125084027,49.266784813535,2730,128,2123.93857320866
5,8,1,no_improving_swap,10.1256035,0.4511448,0.5347506,4.6410124,5.175763,4.4554855421704,51.1156001713873,1680,118,2368.60444158764
6,11,1,no_improving_swap,13.4778654,0.6200956,0.5330525,6.1409521,6.6740046,4.60084428503048,49.5182612522603,2310,134,2180.38859594321
7,10,1,no_improving_swap,12.6310169,0.5832065,0.571316,5.8393784,6.4106944,4.61725690510318,50.7535889687552,2100,123,2098.71170708333
8,4,1,no_improving_swap,5.6093987,0.2535298,0.6352446,2.3791302,3.0143748,4.51973221300886,53.7379309479285,840,95,2989.1924989747
9,11,1,no_improving_swap,14.2210438,0.6217766,0.6186683,6.5543073,7.1729756,4.37222899208003,50.4391639662906,2310,103,2245.72821783516
10,9,1,no_improving_swap,13.090005,0.5650501,0.6961242,5.8530942,6.5492184,4.31665304940678,50.0322070159637,1890,129,2132.49366852485
11,9,1,no_improving_swap,11.4818155,0.5014608,0.680294,5.2444532,5.9247472,4.36743474932166,51.6011357263144,1890,129,2148.07510584779
12,9,1,no_improving_swap,11.4983907,0.546025,0.5942634,5.2025189,5.7967823,4.74870800833024,50.4138574800733,1890,131,2186.36117301499
13,8,1,no_improving_swap,10.1605157,0.4475455,0.553066,4.5836255,5.1366915,4.40475181786295,50.5554211190284,1680,112,2158.9854679496
14,12,1,no_improving_swap,14.9520731,0.689915,0.5519129,6.8805909,7.4325038,4.61417621078912,49.7088514100429,2520,127,2028.29074279088
15,10,1,no_improving_swap,12.763182,0.5809247,0.579066,5.8366829,6.4157489,4.55156637271176,50.2676284017575,2100,107,2086.78138167473
16,7,1,no_improving_swap,8.799567,0.38367,0.550443,3.9304586,4.4809016,4.36010090041931,50.9218419497232,1470,95,2162.02357305942
17,9,1,no_improving_swap,11.1515628,0.5049434,0.5475633,5.017121,5.5646843,4.52800570696692,49.9004883871523,1890,115,2212.68643099247
18,4,1,no_improving_swap,5.3985091,0.2220071,0.5481061,2.2413965,2.7895026,4.11237798969349,51.6717217351732,840,110,2955.63458897685
19,6,1,no_improving_swap,7.7133456,0.332612,0.5458941,3.4249101,3.9708042,4.31216254591263,51.4796614325177,1260,119,2676.83910366096
20,11,1,no_improving_swap,14.0343031,0.6387769,0.5382764,6.4122181,6.9504945,4.55153986235341,49.5250419666367,2310,110,2144.04746438868
21,6,1,no_improving_swap,8.0285063,0.3672605,0.5978029,3.5036254,4.1014283,4.57445614758999,51.0858202851507,1260,116,2374.97784790042
22,8,1,no_improving_swap,10.705812,0.475539,0.5598764,4.789069,5.3489454,4.44187699167518,49.9630051415063,1680,109,2265.9935262536
23,11,1,no_improving_swap,14.7813495,0.7037275,0.5669764,6.6864346,7.253411,4.76091509777237,49.0713720015889,2310,122,2164.07627922193
24,8,1,no_improving_swap,12.274566,0.573621,0.5970005,5.4593714,6.0563719,4.67324873237881,49.3408231297139,1680,134,2300.50921808852
25,7,1,no_improving_swap,9.3270481,0.404506,0.6685178,4.0683285,4.7368463,4.33691341207943,50.7861249262776,1470,124,2313.51243842641
26,5,1,no_improving_swap,6.7606669,0.2910922,0.5941695,2.9364165,3.530586,4.30567286194798,52.2224516045895,1050,115,2586.96034034551
27,11,1,no_improving_swap,14.2017232,0.6412806,0.5587304,6.615587,7.1743174,4.5155125963869,50.5172315990499,2310,108,2197.40631117066
28,7,1,no_improving_swap,9.2259945,0.4259,0.6004852,4.0549992,4.6554844,4.61630450787717,50.4605156658179,1470,115,2218.5327025279
29,7,1,no_improving_swap,9.335823,0.3970574,0.5693481,4.2756398,4.8449879,4.25305192696991,51.8967411871455,1470,120,2190.60903394237
30,7,1,no_improving_swap,9.1147212,0.406364,0.5696873,4.0486206,4.6183079,4.45832616361321,50.6686688343248,1470,132,2343.68377773117
31,7,1,no_improving_swap,9.260271,0.4151853,0.5683311,4.1390024,4.7073335,4.48351133568337,50.8336473090258,1470,98,2273.89544331171
32,5,1,no_improving_swap,7.1606369,0.2985978,0.6026329,3.073411,3.6760439,4.16998940415482,51.3368287114237,1050,114,2921.73262133758
33,6,1,no_improving_swap,8.8887164,0.4123103,0.6735419,3.9530393,4.6265812,4.63858088666211,52.0500485311917,1260,117,2343.59359252485
34,4,1,no_improving_swap,5.6468446,0.2535879,0.5923313,2.4199528,3.0122841,4.4907894224679,53.3445545854051,840,115,2769.27375836185
35,11,1,no_improving_swap,13.9724432,0.6278776,0.5516036,6.5113715,7.0629751,4.49368511299441,50.5493205368693,2310,108,2174.59883832176
36,9,1,no_improving_swap,11.2095626,0.500671,0.5449932,5.1050725,5.6500657,4.46646330339419,50.4039800803646,1890,125,2141.21047741564
37,13,1,no_improving_swap,17.2511054,0.7838984,0.6028497,7.8255746,8.4284243,4.54404736290116,48.8572998922144,2730,136,2080.24152219958
38,9,1,no_improving_swap,14.0125786,0.5900751,0.8158505,6.325421,7.1412715,4.21103864495005,50.9632930801187,1890,139,2122.69191944431
39,10,1,no_improving_swap,12.6602996,0.5764126,0.5697836,5.7657985,6.3355821,4.55291437178943,50.0429081472922,2100,133,2109.30463620703
40,7,1,no_improving_swap,9.346971,0.3961843,0.5766808,4.0787768,4.6554576,4.23863837814411,49.8071257522892,1470,124,2203.11139713037
41,9,1,no_improving_swap,11.6163511,0.5231617,0.5483455,5.2467482,5.7950937,4.50366638797617,49.8873841717818,1890,115,2521.97940825962
42,15,1,no_improving_swap,19.5271912,0.9276291,0.6547779,8.9225239,9.5773018,4.75044818529764,49.0459774880475,3150,135,2101.34829664628
43,4,1,no_improving_swap,5.2537385,0.2247132,0.5687608,2.2191349,2.7878957,4.27720565079514,53.0649879128929,840,112,2822.49709856361
44,10,1,no_improving_swap,12.5492597,0.6092206,0.5729635,5.7030196,6.2759831,4.85463377572782,50.0107835046238,2100,114,2069.03803826968
45,12,1,no_improving_swap,14.7427525,0.6671799,0.5489918,6.7659373,7.3149291,4.52547717938017,49.6171193269371,2520,118,2058.58192686416
46,6,1,no_improving_swap,7.8110317,0.3534267,0.5371186,3.3797594,3.916878,4.52471214525989,50.1454628586388,1260,106,2312.8998692009
47,9,1,no_improving_swap,11.312637,0.513276,0.5462795,5.1017905,5.64807,4.53719146119512,49.9270859658981,1890,102,2285.47364822087
48,8,1,no_improving_swap,10.2192097,0.4612057,0.5639133,4.5258675,5.0897808,4.51312492393614,49.8060119071634,1680,123,2491.09191543584
49,9,1,no_improving_swap,11.1772437,0.5008379,0.5385041,5.0538421,5.5923462,4.48087125451152,50.0333208266721,1890,105,2170.18744485959
50,9,1,no_improving_swap,11.743481,0.5308741,0.5933791,5.3766523,5.9700314,4.52058550612037,50.836982662977,1890,134,2203.97243235125
51,9,1,no_improving_swap,11.1221792,0.4960876,0.5342227,5.0922213,5.626444,4.46034532513197,50.5876042709328,1890,119,2155.07626059951
52,9,1,no_improving_swap,11.552129,0.5328978,0.5840715,5.1433482,5.7274197,4.61298345958567,49.5789105194376,1890,130,2156.33655828246
53,10,1,no_improving_swap,12.2948613,0.5693738,0.5697896,5.5697584,6.139548,4.63099002182318,49.9358866293189,2100,132,2193.21939336319
54,9,1,no_improving_swap,11.4693336,0.5086616,0.5706499,5.1167806,5.6874305,4.43497083387652,49.5881513115984,1890,107,2224.40813059927
55,6,1,no_improving_swap,7.7169739,0.3354316,0.5645132,3.3987543,3.9632675,4.34667272880112,51.3577932406899,1260,115,2359.96958875699
