Location,OuterIters,Converged,StopReason,TimeTotal_s,TimeSwap_s,TimeFitInit_s,TimeFitLoop_s,TimeFitAll_s,SwapFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts
1,7,1,no_improving_swap,0.4433074,0.0363595,0.0533411,0.174841,0.2281821,8.20187075604874,51.4726575735032,1470,135
2,20,0,max_iter_reached,1.14624,0.1082342,0.0232186,0.4916424,0.514861,9.44254257398102,44.9173820491346,4200,154
3,6,1,no_improving_swap,0.3813693,0.0357489,0.0404764,0.1467031,0.1871795,9.37382741610297,49.0809039951564,1260,127
4,11,1,no_improving_swap,0.6172206,0.0431868,0.0347233,0.2567444,0.2914677,6.99697968603122,47.2226137624052,2310,111
5,9,1,no_improving_swap,0.4569755,0.036833,0.0210491,0.2089131,0.2299622,8.06016952768803,50.3226540591345,1890,113
6,4,1,no_improving_swap,0.1923618,0.014276,0.0235701,0.0758678,0.0994379,7.42143190591895,51.6931636114863,840,83
7,9,1,no_improving_swap,0.4778348,0.0378123,0.0249678,0.2096822,0.23465,7.91325788745399,49.1069298426988,1890,182
8,11,1,no_improving_swap,0.5614091,0.0481105,0.0240263,0.2365457,0.260572,8.56959746466525,46.4139252463132,2310,108
9,11,1,no_improving_swap,0.5900463,0.0560996,0.0267609,0.2693094,0.2960703,9.50766067001861,50.1774691240331,2310,119
10,10,1,no_improving_swap,0.5299756,0.0541894,0.0250714,0.2247327,0.2498041,10.2248858249323,47.1350190461599,2100,125
11,13,1,no_improving_swap,0.6943604,0.0514472,0.0231832,0.3107388,0.333922,7.40929350233683,48.0905881153361,2730,138
12,11,1,no_improving_swap,0.5801508,0.0463061,0.0217377,0.259286,0.2810237,7.98173509370322,48.4397677293559,2310,153
13,17,1,no_improving_swap,0.8593168,0.0709488,0.0231394,0.3791939,0.4023333,8.25641951838949,46.8201366480907,3570,123
14,15,1,no_improving_swap,0.7061918,0.0588106,0.0228316,0.3137993,0.3366309,8.3278508756403,47.668480432653,3150,153
15,11,1,no_improving_swap,0.5312612,0.0499664,0.0212555,0.2318352,0.2530907,9.40524171537466,47.6395979981222,2310,132
16,13,1,no_improving_swap,0.5777298,0.0471402,0.0206871,0.2515514,0.2722385,8.15955832640103,47.1221148710003,2730,113
17,13,1,no_improving_swap,0.6051943,0.0496824,0.025458,0.2639396,0.2893976,8.20933045800332,47.8189566557385,2730,93
